	control.B01	control.B02	control.B03	control.B04	control.B05	control.B06	experimental.B07	experimental.B08	experimental.B09	experimental.B10	experimental.B11	experimental.B12
1-phosphatidylinositol 3-kinaseFUNC_PR48	0	0	0	1	0	0	0	0	0	0	0	0
1-phosphatidylinositol 3-phosphate 5-kinase fab1-likeFUNC_PR49	0	0	0	0	0	1	0	0	0	0	0	0
1-phosphatidylinositol 4-kinaseFUNC_PR50	3	0	0	1	13	0	4	7	3	28	15	0
1-phosphatidylinositol 4-kinase LSB6FUNC_PR51	5	4	0	17	20	9	4	11	8	33	31	0
1-phosphatidylinositol 4-kinase STT4FUNC_PR52	10	0	0	25	16	1	4	13	5	26	12	0
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase 1-likeFUNC_PR53	0	0	0	1	0	0	0	0	0	0	0	0
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase classes I and II-likeFUNC_PR54	0	0	0	0	2	0	0	0	0	0	0	0
1-phosphatidylinositol phosphodiesteraseFUNC_PR55	0	0	0	0	0	0	0	0	1	0	0	0
1-phosphatidylinositol-3-phosphate 5-kinaseFUNC_PR56	11	8	0	13	50	13	7	15	17	62	43	0
1-phosphatidylinositol-3-phosphate 5-kinase FAB1BFUNC_PR57	4	0	0	0	0	0	0	0	0	0	0	0
1-phosphatidylinositol-3-phosphate 5-kinase FAB1B isoform X1FUNC_PR58	0	0	0	0	0	0	0	1	0	0	0	0
1-phosphatidylinositol-4-phosphate 5-kinaseFUNC_PR59	3	0	0	16	41	22	7	12	13	50	22	0
1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase 1FUNC_PR60	4	0	0	0	0	0	0	0	0	0	0	0
1-phosphofructokinaseFUNC_PR61	13	2	0	1	3	44	0	1	0	13	0	0
1-phosphofructokinase, partialFUNC_PR62	1	20	0	0	21	16	0	0	0	7	0	0
1-pyrroline-5-carboxylate dehydrogenaseFUNC_PR63	63	59	4	57	108	165	26	70	21	154	19	18
1-pyrroline-5-carboxylate dehydrogenase, partialFUNC_PR64	0	0	0	0	0	9	0	0	0	0	0	0
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 1FUNC_PR65	3	0	0	0	0	0	0	0	0	0	0	0
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 2FUNC_PR66	4	6	0	0	1	0	0	1	0	0	0	0
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 4FUNC_PR67	0	0	0	0	0	4	0	0	0	0	0	0
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 4-likeFUNC_PR68	0	0	0	0	1	0	0	0	0	0	0	0
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase-likeFUNC_PR69	0	0	0	0	1	0	0	1	1	0	0	0
1,2-phenylacetyl-CoA epoxidase subunit AFUNC_PR70	0	2	0	0	1	4	0	0	0	0	0	0
1,3-1,4-beta-glycanaseFUNC_PR71	0	0	0	0	1	3	0	0	0	1	0	0
1,3-beta glucan synthaseFUNC_PR72	38	2	0	2	3	0	0	0	0	1	3	0
1,3-beta-D-glucan synthaseFUNC_PR73	103	9	0	184	280	15	60	103	77	269	101	0
1,3-beta-galactosyl-N-acetylhexosamine phosphorylaseFUNC_PR74	9	0	0	0	7	6	0	0	0	5	0	0
1,3-beta-glucan synthaseFUNC_PR75	2	1	0	2	5	19	1	1	1	5	0	0
1,3-beta-glucan synthase componentFUNC_PR76	0	0	0	0	1	0	0	1	0	0	0	0
1,3-beta-glucan synthase component bgs4FUNC_PR77	0	0	0	1	11	3	2	1	3	0	3	0
1,3-beta-glucan synthase component domain-containing proteinFUNC_PR78	0	0	0	0	0	0	0	0	0	1	0	0
1,3-beta-glucan synthase component FKS1FUNC_PR79	0	0	0	1	1	1	0	0	0	3	4	0
1,3-beta-glucan synthase component FKS1-likeFUNC_PR80	1	0	0	0	2	1	1	0	1	0	1	0
1,3-beta-glucan synthase component GLS1FUNC_PR81	0	0	0	1	0	0	0	0	0	1	0	0
1,3-beta-glucan synthase component GLS2FUNC_PR82	0	0	0	0	0	0	1	0	0	0	0	0
1,3-beta-glucan synthase gsc2FUNC_PR83	0	0	0	0	0	0	0	0	0	1	2	0
1,3-beta-glucan synthase GSC2FUNC_PR84	34	29	0	227	1034	230	15	78	106	362	627	9
1,3-beta-glucan synthase subunit Bgs4FUNC_PR85	0	0	0	0	0	1	1	0	0	0	0	0
1,3-beta-glucanaseFUNC_PR86	0	0	0	0	0	0	0	0	0	0	0	11
