	control.B01	control.B02	control.B03	control.B04	control.B05	control.B06	experimental.B07	experimental.B08	experimental.B09	experimental.B10	experimental.B11	experimental.B12
divergent AAA domain protein, partialFUNC_PR10392	0	0	0	0	0	3	0	0	0	0	0	0
divergent PAP2 family proteinFUNC_PR10393	2	0	0	0	0	5	0	0	0	0	0	0
diversity-generating retroelement protein bAvd family proteinFUNC_PR10394	0	0	0	0	0	1	0	0	0	0	0	0
division/cell wall cluster transcriptional repressor MraZFUNC_PR10395	7	0	0	0	3	23	0	0	0	6	0	10
division/cell wall cluster transcriptional repressor MraZ, partialFUNC_PR10396	0	0	0	0	0	2	0	0	0	0	0	0
DivIVA domain-containing proteinFUNC_PR10397	10	17	0	0	6	10	0	0	1	0	0	0
DJ-1 family proteinFUNC_PR10398	1	0	0	0	1	2	0	0	1	0	0	0
DJ-1/PfpI family proteinFUNC_PR10399	0	8	2	0	0	14	0	0	0	0	0	7
DJ-1/PfpI/YhbO family deglycase/proteaseFUNC_PR10400	0	0	0	0	0	0	0	0	0	0	0	2
Djp1FUNC_PR10401	0	0	0	3	0	0	2	5	2	10	4	0
Djp1pFUNC_PR10402	0	1	0	10	7	0	3	11	8	17	15	0
DksA/TraR family C4-type zinc finger proteinFUNC_PR10403	0	0	0	0	2	0	0	0	0	0	0	1
DL-methionine transporter permease subunitFUNC_PR10404	0	0	1	0	0	10	0	0	0	0	0	0
dlat proteinFUNC_PR10405	0	0	0	0	0	0	0	0	0	2	0	0
Dld1FUNC_PR10406	1	11	0	20	37	6	2	4	15	50	31	0
DLD1-like proteinFUNC_PR10407	1	1	0	4	0	0	0	1	1	0	3	0
Dld2FUNC_PR10408	0	0	0	2	1	2	0	0	1	6	1	0
DLD2-like proteinFUNC_PR10409	6	0	0	1	1	1	0	1	0	4	2	0
Dld3FUNC_PR10410	1	0	0	4	5	1	2	5	4	5	8	0
DlpA domain-containing protein, partialFUNC_PR10411	0	1	0	0	0	0	0	0	0	0	0	0
Dls1pFUNC_PR10412	3	0	0	6	23	2	2	16	9	25	11	0
Dlt1FUNC_PR10413	0	0	0	1	0	0	0	2	0	1	4	0
Dlt1pFUNC_PR10414	0	0	0	0	3	1	0	0	1	6	0	0
DltDFUNC_PR10415	0	2	0	0	0	0	0	0	0	0	0	0
Dma1FUNC_PR10416	0	0	0	0	0	0	0	1	0	0	0	0
DMA1-like proteinFUNC_PR10417	0	0	0	4	0	3	1	4	0	4	5	0
Dma2FUNC_PR10418	0	3	0	6	32	5	1	3	6	15	14	3
DMA2-like proteinFUNC_PR10419	0	0	0	0	1	0	0	0	0	0	0	0
Dmc1FUNC_PR10420	0	0	0	0	4	0	0	0	1	3	2	0
DMC1-like proteinFUNC_PR10421	0	0	0	1	9	0	0	0	0	1	2	0
DME family drug/metabolite transporterFUNC_PR10422	0	2	0	0	0	0	0	0	0	0	0	0
Dml1pFUNC_PR10423	1	0	0	4	7	0	3	2	2	8	6	0
DMSO reductaseFUNC_PR10424	1	2	0	0	0	1	0	0	0	0	1	0
DMT family transporterFUNC_PR10425	0	5	0	0	0	0	0	0	0	2	0	3
DNA (cytosine-5-)-methyltransferaseFUNC_PR10426	11	12	0	0	9	61	0	0	0	6	0	4
DNA (cytosine-5-)-methyltransferase, partialFUNC_PR10427	0	0	0	0	0	2	0	0	0	0	0	0
DNA (cytosine-5)-methyltransferase CMT2-like isoform X1FUNC_PR10428	1	0	0	0	0	0	0	0	0	0	0	0
DNA (cytosine-5)-methyltransferase CMT3FUNC_PR10429	0	0	0	0	0	0	0	0	0	2	0	0
DNA (cytosine-5)-methyltransferase DRM2-likeFUNC_PR10430	1	0	0	0	1	0	0	0	0	0	0	0
DNA 5'-adenosine monophosphate hydrolaseFUNC_PR10431	0	0	0	1	3	0	0	1	0	9	0	0
DNA adenine methylaseFUNC_PR10432	7	2	0	0	1	6	0	0	1	0	0	2
DNA alkylation repair enzymeFUNC_PR10433	2	0	0	0	0	0	0	0	0	0	0	0
DNA alkylation repair proteinFUNC_PR10434	15	0	1	2	5	5	0	0	0	3	0	1
DNA alkylation response proteinFUNC_PR10435	2	3	0	0	1	6	0	2	0	1	0	0
DNA alkylation response protein, partialFUNC_PR10436	0	0	0	0	1	0	0	0	0	1	0	0
DNA base-flipping protein YbaZFUNC_PR10437	1	0	0	0	0	0	0	1	0	0	0	0
dna binding protein sart-1, partialFUNC_PR10438	0	2	0	0	0	0	0	0	0	0	0	0
DNA binding regulatory protein AmdXFUNC_PR10439	0	1	0	0	1	0	0	0	0	0	0	0
DNA binding transcription factorFUNC_PR10440	0	1	0	0	0	0	0	0	0	2	0	0
DNA binding/DNA topoisomerase type IFUNC_PR10441	0	0	0	0	0	0	0	0	0	1	0	0
DNA cross-link repair 1A proteinFUNC_PR10442	5	0	0	0	1	12	0	0	0	0	0	0
DNA cross-link repair protein PSO2FUNC_PR10443	1	0	0	6	6	1	0	2	3	16	4	0
DNA cytosine methyltransferaseFUNC_PR10444	21	31	1	1	2	68	1	2	1	3	1	12
DNA damage repair protein, partialFUNC_PR10445	0	0	0	0	1	0	0	0	0	0	0	0
DNA damage-binding protein 1FUNC_PR10446	0	8	0	0	0	3	0	1	0	1	1	0
DNA damage-binding protein 1 isoform X1FUNC_PR10447	1	0	0	0	0	0	0	0	0	0	0	0
DNA damage-binding protein 1-likeFUNC_PR10448	0	0	0	0	0	0	0	0	0	1	0	0
DNA damage-binding protein CMR1 isoform X1FUNC_PR10449	0	0	0	0	0	0	0	0	0	1	0	0
DNA damage-inducible proteinFUNC_PR10450	0	0	0	0	1	0	1	0	1	1	0	0
DNA damage-inducible protein 1FUNC_PR10451	3	1	0	0	3	2	0	1	0	1	0	0
DNA damage-inducible protein 1-likeFUNC_PR10452	0	0	0	1	1	0	0	1	1	0	0	0
DNA damage-inducible protein D, partialFUNC_PR10453	0	0	0	0	1	0	0	0	0	0	0	0
DNA damage-inducible protein DinBFUNC_PR10454	5	0	0	0	0	9	0	0	0	0	0	0
DNA damage-repair/toleration protein DRT100FUNC_PR10455	3	0	0	0	0	0	0	0	0	0	0	0
DNA damage-repair/toleration protein DRT102FUNC_PR10456	21	2	0	0	0	0	0	0	0	0	1	0
DNA damage-responsive proteinFUNC_PR10457	0	0	0	0	0	12	0	0	0	0	0	0
DNA damage-responsive protein 48FUNC_PR10458	0	0	0	3	5	0	0	3	7	14	0	0
DNA damage-responsive RNA polymerase-degradation factor DEF1FUNC_PR10459	4	1	0	9	14	3	13	13	6	25	30	0
DNA directed RNA polymerase i, second largest subunitFUNC_PR10460	0	0	0	0	0	1	0	0	0	0	0	0
DNA directed RNA polymerase II 15 kDa subunitFUNC_PR10461	0	0	0	0	0	1	0	0	0	0	0	0
dna double-strand break repair and vj recombination xrcc4FUNC_PR10462	0	4	0	0	0	0	0	0	0	0	0	0
DNA double-strand break repair ATPase Rad50FUNC_PR10463	0	0	0	0	0	0	0	0	0	1	0	0
DNA double-strand break repair nuclease NurAFUNC_PR10464	1	7	0	0	0	0	0	0	0	0	0	2
DNA excision repair proteinFUNC_PR10465	0	0	0	0	0	0	0	0	1	0	0	0
DNA excision repair protein ERCC-1FUNC_PR10466	1	0	0	0	0	8	0	0	0	0	0	0
DNA excision repair protein ERCC-2FUNC_PR10467	0	2	0	0	0	1	0	0	0	0	0	0
DNA excision repair protein ERCC-3FUNC_PR10468	0	0	0	1	0	0	0	0	0	0	0	0
DNA excision repair protein ERCC-4FUNC_PR10469	3	8	0	0	0	3	0	0	0	0	0	0
DNA excision repair protein ERCC-5FUNC_PR10470	2	0	0	0	0	9	0	0	0	2	0	0
DNA exonucleaseFUNC_PR10471	2	0	0	0	0	0	0	0	0	0	0	0
DNA exonuclease SbcCD subunit SbcDFUNC_PR10472	1	0	0	0	0	0	0	0	0	0	0	0
DNA glycosylaseFUNC_PR10473	11	3	0	0	1	6	0	1	0	2	0	0
DNA gyrase inhibitorFUNC_PR10474	0	0	0	0	0	0	0	0	0	0	1	0
DNA gyrase inhibitor YacGFUNC_PR10475	6	0	0	0	0	0	1	1	0	1	1	2
DNA gyrase subunit AFUNC_PR10476	48	54	3	5	47	240	5	3	5	67	4	65
DNA gyrase subunit A, partialFUNC_PR10477	39	15	1	2	16	94	4	0	2	32	1	2
DNA gyrase subunit BFUNC_PR10478	10	26	1	4	13	65	5	3	2	27	8	13
DNA gyrase subunit B, partialFUNC_PR10479	1	3	0	0	1	15	1	0	0	6	0	0
DNA gyrase, partialFUNC_PR10480	0	0	0	0	0	3	0	0	0	0	0	0
DNA gyrase/topoisomerase IV, A subunitFUNC_PR10481	0	0	0	0	0	0	0	0	0	1	0	0
DNA helicaseFUNC_PR10482	31	47	0	17	57	179	7	10	17	52	28	34
DNA helicase IIFUNC_PR10483	26	25	0	0	4	44	2	2	0	13	2	4
DNA helicase II, partialFUNC_PR10484	0	0	0	1	0	0	0	0	0	0	0	0
DNA helicase II/ATP-dependent DNA helicase PcrAFUNC_PR10485	2	0	0	0	0	4	0	0	0	0	0	0
DNA helicase INO80FUNC_PR10486	2	4	0	0	1	8	0	0	0	0	0	0
DNA helicase PcrAFUNC_PR10487	22	39	0	1	21	80	0	0	0	15	0	0
DNA helicase PcrA, partialFUNC_PR10488	0	0	0	0	1	13	0	0	0	4	0	2
DNA helicase PIF1FUNC_PR10489	0	0	0	6	4	0	1	2	4	22	9	0
DNA helicase RAD5FUNC_PR10490	1	0	0	3	10	1	5	2	5	16	7	0
DNA helicase RecGFUNC_PR10491	11	10	0	3	9	48	1	0	0	25	0	7
DNA helicase RecG, partialFUNC_PR10492	0	0	0	0	2	3	0	0	0	0	0	0
DNA helicase RecQFUNC_PR10493	25	16	1	1	4	49	2	0	0	17	0	33
DNA helicase RecQ, partialFUNC_PR10494	7	8	0	1	4	0	0	1	0	1	1	0
DNA helicase RepFUNC_PR10495	0	0	1	1	0	2	0	2	0	5	0	0
DNA helicase SRS2FUNC_PR10496	0	3	0	1	11	0	0	2	1	10	9	0
DNA helicase UvrAFUNC_PR10497	0	0	0	0	0	0	0	0	0	1	0	0
DNA helicase UvrBCFUNC_PR10498	0	2	0	0	0	0	0	0	0	0	0	0
DNA helicase UvrDFUNC_PR10499	6	15	1	0	7	25	0	1	1	8	2	14
DNA helicase UvrD, partialFUNC_PR10500	0	2	0	0	0	0	0	0	0	0	0	0
DNA helicase, partialFUNC_PR10501	0	0	0	0	2	0	0	0	0	4	0	3
DNA integrity scanning protein DisAFUNC_PR10502	17	20	1	0	9	82	0	0	0	17	0	0
DNA internalization-related competence protein ComEC/Rec2FUNC_PR10503	10	32	2	1	3	40	0	2	1	10	0	1
DNA internalization-related competence protein ComEC/Rec2, partialFUNC_PR10504	1	0	0	0	0	10	0	0	0	0	0	0
DNA invertaseFUNC_PR10505	9	12	1	0	1	45	0	1	0	5	0	1
DNA invertase, partialFUNC_PR10506	5	0	0	0	1	11	0	0	0	1	0	0
dna ligaseFUNC_PR10507	0	0	0	0	1	0	0	0	0	0	0	0
DNA ligaseFUNC_PR10508	5	11	0	1	1	6	0	0	0	4	1	3
DNA ligase (ATP) CDC9FUNC_PR10509	4	0	0	4	17	0	0	2	3	22	7	0
DNA ligase (ATP) DNL4FUNC_PR10510	3	3	0	7	36	3	0	2	11	33	17	0
DNA ligase (NAD(+)) LigAFUNC_PR10511	76	49	3	1	16	182	0	5	2	28	0	15
DNA ligase (NAD(+)) LigA, partialFUNC_PR10512	3	7	0	0	0	29	0	0	0	3	0	0
DNA ligase 1FUNC_PR10513	0	0	0	0	2	0	0	0	0	1	0	0
DNA ligase 1-likeFUNC_PR10514	0	0	0	0	0	0	0	0	0	1	0	0
DNA ligase 4FUNC_PR10515	0	0	0	0	1	0	0	0	0	0	0	0
DNA ligase 4-likeFUNC_PR10516	0	0	0	0	1	0	0	0	0	0	0	0
DNA ligase 4-like, partialFUNC_PR10517	0	0	0	0	1	0	0	0	0	0	0	0
DNA ligase BFUNC_PR10518	1	0	0	0	0	0	0	0	0	2	0	2
DNA ligase DFUNC_PR10519	0	0	0	0	0	3	0	0	0	3	0	0
DNA ligase D, partialFUNC_PR10520	0	0	0	0	0	0	0	1	0	0	0	0
DNA ligase-associated DEXH box helicaseFUNC_PR10521	14	6	0	2	9	12	0	1	0	7	0	14
DNA ligase-associated DEXH box helicase, partialFUNC_PR10522	0	1	0	0	0	4	0	0	0	1	0	0
DNA ligase-like proteinFUNC_PR10523	0	0	0	0	0	0	0	0	0	0	0	1
DNA lyaseFUNC_PR10524	0	0	0	0	0	1	0	0	0	0	0	0
DNA lyase-like proteinFUNC_PR10525	0	0	0	0	1	0	0	0	0	0	0	0
DNA maturase BFUNC_PR10526	0	2	0	0	0	28	0	0	0	0	0	0
DNA metabolism proteinFUNC_PR10527	1	0	0	0	1	2	0	0	0	1	0	0
DNA methylaseFUNC_PR10528	7	12	0	0	3	65	0	0	0	4	0	1
DNA methylase N-4FUNC_PR10529	1	0	0	0	4	50	0	0	0	4	1	2
DNA methylase N-4/N-6FUNC_PR10530	0	1	0	0	0	0	0	0	0	0	0	0
DNA methylase N-4/N-6 domain-containing proteinFUNC_PR10531	0	0	0	0	0	6	0	0	0	0	0	0
DNA methylase, partialFUNC_PR10532	0	0	0	0	3	2	0	0	0	2	0	0
DNA methyltransferaseFUNC_PR10533	9	23	0	1	2	81	0	0	0	5	0	9
DNA methyltransferase 1-associated protein 1FUNC_PR10534	0	0	0	0	1	1	0	0	0	0	0	0
DNA methyltransferase, partialFUNC_PR10535	1	1	0	0	1	4	0	0	0	1	0	1
DNA mismatch repair ATPase msh1FUNC_PR10536	1	0	0	0	0	0	0	0	0	0	0	0
DNA mismatch repair endonuclease MutLFUNC_PR10537	3	0	0	0	0	1	0	0	0	2	0	0
DNA mismatch repair proteinFUNC_PR10538	3	8	0	0	1	16	0	0	0	2	0	0
DNA mismatch repair protein MLH1FUNC_PR10539	0	0	0	1	2	2	0	0	0	0	0	0
DNA mismatch repair protein msh-2FUNC_PR10540	0	0	0	0	1	0	0	0	0	0	1	0
DNA mismatch repair protein MSH2FUNC_PR10541	0	0	0	0	3	0	0	0	0	2	0	0
DNA mismatch repair protein MSH3FUNC_PR10542	1	2	0	0	2	13	0	0	0	0	0	0
dna mismatch repair protein msh6FUNC_PR10543	0	0	0	0	1	0	0	0	0	0	0	0
DNA mismatch repair protein MSH6FUNC_PR10544	9	4	0	0	1	0	0	0	0	1	0	3
DNA mismatch repair protein Msh6-likeFUNC_PR10545	0	0	0	0	1	0	0	0	0	1	0	0
DNA mismatch repair protein MutHFUNC_PR10546	2	0	0	0	0	1	0	0	0	0	0	0
DNA mismatch repair protein MutH, partialFUNC_PR10547	0	0	0	0	0	0	0	0	0	1	0	0
DNA mismatch repair protein mutLFUNC_PR10548	0	0	0	0	0	7	0	0	0	0	0	0
DNA mismatch repair protein MutLFUNC_PR10549	15	15	4	1	1	74	4	4	1	32	4	26
DNA mismatch repair protein MutL, partialFUNC_PR10550	1	5	0	0	5	19	1	1	0	14	0	0
DNA mismatch repair protein MutSFUNC_PR10551	43	63	2	1	12	98	3	7	0	34	0	83
DNA mismatch repair protein MutS, partialFUNC_PR10552	5	0	0	0	1	6	0	0	0	7	0	0
DNA mismatch repair protein MutTFUNC_PR10553	3	0	0	0	0	5	0	0	0	2	0	0
DNA mismatch repair protein, partialFUNC_PR10554	3	0	0	0	0	0	0	0	0	0	0	0
DNA modification methylaseFUNC_PR10555	2	0	0	0	1	33	0	0	0	0	0	0
DNA modification methylase, partialFUNC_PR10556	0	2	0	0	0	0	0	0	0	0	0	0
DNA nickaseFUNC_PR10557	1	0	0	0	0	0	0	0	0	0	0	0
DNA or RNA helicase of superfamily IIFUNC_PR10558	1	0	0	0	0	0	0	0	0	0	0	0
DNA or RNA helicase Superfamily I family protein, partialFUNC_PR10559	0	0	0	0	4	0	0	0	0	0	0	0
DNA packaging proteinFUNC_PR10560	0	0	0	0	0	2	0	0	0	1	0	0
DNA packaging protein, partialFUNC_PR10561	0	0	0	0	0	0	0	0	0	1	0	0
DNA photolyase family proteinFUNC_PR10562	1	0	0	0	2	4	0	0	0	0	0	1
DNA polymeras-like protein alpha catalytic subunitFUNC_PR10563	0	0	0	0	0	0	1	0	0	0	0	0
DNA polymeraseFUNC_PR10564	29	12	1	1	2	88	1	0	0	8	3	1
DNA polymerase alpha catalytic subunit-likeFUNC_PR10565	0	1	0	0	0	0	0	0	0	0	0	0
DNA polymerase alpha catalytic subunit-like, partialFUNC_PR10566	1	0	0	0	1	6	0	0	0	0	0	0
DNA polymerase alpha subunit AFUNC_PR10567	14	0	0	0	7	3	0	0	0	1	1	0
DNA polymerase alpha-associated DNA helicase AFUNC_PR10568	2	0	0	0	0	0	0	0	0	0	0	0
DNA polymerase alpha-associated DNA helicase A-likeFUNC_PR10569	0	0	0	0	0	0	0	1	0	0	0	0
DNA polymerase alpha, subunit BFUNC_PR10570	0	0	0	0	0	1	0	0	0	0	0	0
DNA polymerase beta, putativeFUNC_PR10571	0	0	0	1	0	0	0	0	0	0	0	0
DNA polymerase delta catalytic subunitFUNC_PR10572	1	0	0	0	0	0	0	0	0	1	0	0
DNA polymerase delta catalytic subunit-likeFUNC_PR10573	1	0	0	1	0	0	0	0	0	0	0	1
DNA polymerase delta catalytic subunit, partialFUNC_PR10574	0	0	0	0	0	0	0	0	0	1	0	0
DNA polymerase delta small subunit-likeFUNC_PR10575	6	0	0	0	0	0	0	0	0	0	0	0
DNA polymerase delta subunit 1FUNC_PR10576	5	0	0	0	0	3	0	0	0	0	0	0
DNA polymerase delta subunit 2FUNC_PR10577	0	0	0	0	0	7	0	0	0	0	0	0
DNA polymerase delta subunit POL32FUNC_PR10578	0	0	0	3	3	0	1	4	1	2	2	0
DNA polymerase domain-containing proteinFUNC_PR10579	0	7	0	0	0	0	0	0	0	0	0	0
DNA polymerase epsilon catalytic subunitFUNC_PR10580	1	3	0	8	35	0	3	4	4	26	12	0
DNA polymerase epsilon noncatalytic subunitFUNC_PR10581	2	1	0	29	59	4	0	26	33	61	67	1
DNA polymerase epsilon subunit 1FUNC_PR10582	0	8	0	0	2	0	0	0	0	0	0	0
DNA polymerase epsilon subunit 2FUNC_PR10583	2	0	0	0	0	0	0	0	0	0	0	0
DNA polymerase epsilon subunit 3FUNC_PR10584	2	0	0	0	0	0	0	0	0	0	0	0
DNA polymerase etaFUNC_PR10585	0	0	0	0	0	1	0	0	0	0	0	0
DNA polymerase family A-domain-containing proteinFUNC_PR10586	0	0	0	0	1	0	0	0	0	0	0	0
DNA polymerase family B (mitochondrion)FUNC_PR10587	6	0	0	0	0	0	0	0	0	0	0	0
DNA polymerase family B-domain-containing proteinFUNC_PR10588	0	0	0	0	0	1	0	0	0	0	0	0
DNA polymerase gammaFUNC_PR10589	0	0	0	0	1	0	0	0	0	0	0	0
DNA polymerase gamma 1FUNC_PR10590	0	0	0	0	1	19	0	0	0	2	0	0
DNA polymerase IFUNC_PR10591	95	113	4	7	33	313	5	1	1	49	2	42
DNA polymerase I family member proteinFUNC_PR10592	0	0	0	0	0	5	0	0	0	0	0	0
DNA polymerase I, partialFUNC_PR10593	0	1	0	0	0	6	0	0	0	1	0	8
DNA polymerase I, putativeFUNC_PR10594	1	0	0	0	0	0	0	0	0	0	0	0
DNA polymerase IIFUNC_PR10595	1	2	0	0	1	5	0	1	0	2	0	4
DNA polymerase II large subunitFUNC_PR10596	3	5	0	0	3	0	0	0	0	1	0	2
DNA polymerase IIIFUNC_PR10597	4	0	0	0	0	1	0	0	0	1	0	0
DNA polymerase III epsilon subunit (exonuclease)FUNC_PR10598	1	0	0	0	0	0	0	0	0	0	0	0
DNA polymerase III subunit alphaFUNC_PR10599	135	142	2	5	65	504	7	6	1	85	4	48
DNA polymerase III subunit alpha, partialFUNC_PR10600	4	0	0	0	2	15	0	0	0	8	0	8
DNA polymerase III subunit betaFUNC_PR10601	24	15	0	1	10	101	0	2	0	28	2	15
DNA polymerase III subunit beta, partialFUNC_PR10602	0	0	0	0	0	2	0	0	0	2	0	0
DNA polymerase III subunit chiFUNC_PR10603	2	1	0	1	1	4	0	1	0	1	0	7
DNA polymerase III subunit chi, partialFUNC_PR10604	0	0	0	0	0	0	0	0	0	0	2	0
DNA polymerase III subunit deltaFUNC_PR10605	31	25	0	0	29	77	1	0	0	31	0	0
DNA polymerase III subunit delta, partialFUNC_PR10606	2	3	0	0	1	7	0	0	0	0	0	0
DNA polymerase III subunit delta'FUNC_PR10607	26	18	0	1	6	69	2	0	1	24	0	6
DNA polymerase III subunit delta', partialFUNC_PR10608	0	0	0	0	0	0	0	0	0	1	1	0
DNA polymerase III subunit epsilonFUNC_PR10609	16	33	1	2	14	104	2	4	1	21	2	11
DNA polymerase III subunit epsilon, partialFUNC_PR10610	0	0	0	0	0	1	0	0	0	1	0	0
DNA polymerase III subunit gamma and tauFUNC_PR10611	46	38	3	1	49	129	1	0	0	21	1	13
DNA polymerase III subunit gamma and tau, partialFUNC_PR10612	15	18	0	1	19	39	0	0	0	13	2	10
DNA polymerase III subunit gamma/tauFUNC_PR10613	12	7	1	0	7	69	3	4	0	28	6	2
DNA polymerase III subunit gamma/tau, partialFUNC_PR10614	0	5	1	0	0	22	0	0	0	1	0	0
DNA polymerase III subunit tauFUNC_PR10615	0	0	0	0	1	0	0	0	0	0	0	0
DNA polymerase III subunits gamma and tauFUNC_PR10616	0	0	0	0	3	0	0	0	0	0	0	0
DNA polymerase III, delta' subunitFUNC_PR10617	0	0	0	0	0	0	0	0	0	1	0	0
DNA polymerase III, subunit gamma and tauFUNC_PR10618	0	14	0	0	0	30	0	0	0	1	0	7
DNA polymerase III, subunit gamma and tau, partialFUNC_PR10619	1	3	0	0	0	8	0	0	0	0	0	1
DNA polymerase IVFUNC_PR10620	35	64	1	0	27	122	1	2	0	32	3	18
DNA polymerase IV proteinFUNC_PR10621	0	0	0	0	1	0	0	0	0	0	0	0
DNA polymerase IV, partialFUNC_PR10622	2	4	0	0	0	0	0	0	1	3	0	20
DNA polymerase kappaFUNC_PR10623	0	0	0	0	4	0	0	0	0	0	0	2
DNA polymerase kappa isoform X1FUNC_PR10624	0	0	0	0	0	0	0	0	0	0	1	0
DNA polymerase muFUNC_PR10625	0	1	0	0	1	0	0	0	0	0	0	0
DNA polymerase phiFUNC_PR10626	1	0	0	0	3	1	0	0	0	1	0	0
DNA polymerase phi-domain-containing proteinFUNC_PR10627	0	0	0	0	0	0	0	0	1	0	0	0
DNA polymerase POL4FUNC_PR10628	0	0	0	0	0	0	0	0	0	1	0	0
DNA polymerase sigmaFUNC_PR10629	0	0	0	0	0	0	0	0	0	1	0	0
DNA polymerase sliding clampFUNC_PR10630	0	11	0	0	0	0	0	0	0	0	0	0
DNA polymerase subunit betaFUNC_PR10631	0	2	0	0	0	0	0	0	0	0	0	0
DNA polymerase subunit cdc27FUNC_PR10632	0	0	0	0	0	1	0	0	0	0	0	0
DNA polymerase subunit gamma-1-likeFUNC_PR10633	0	2	0	0	0	0	0	0	0	1	0	0
DNA polymerase type-X family protein pol4-likeFUNC_PR10634	0	0	0	0	0	0	0	0	0	0	1	0
DNA polymerase VFUNC_PR10635	0	0	0	1	0	0	0	0	0	2	0	0
DNA polymerase V subunit UmuCFUNC_PR10636	5	8	0	0	2	1	0	1	1	15	0	0
DNA polymerase V-likeFUNC_PR10637	1	0	0	0	0	0	0	0	0	0	0	0
DNA polymerase zetaFUNC_PR10638	2	4	0	0	0	4	0	0	0	0	0	0
DNA polymerase zeta catalytic subunitFUNC_PR10639	0	0	0	0	0	4	0	0	0	0	0	0
DNA polymerase, partialFUNC_PR10640	0	0	0	0	0	5	0	0	0	3	0	0
DNA polymerase/3'-5' exonuclease PolXFUNC_PR10641	3	3	0	0	0	19	0	0	0	2	0	10
DNA polymerase/3'-5' exonuclease PolX, partialFUNC_PR10642	0	0	0	0	0	1	0	0	0	0	0	0
DNA primaseFUNC_PR10643	83	66	1	2	34	263	1	0	1	70	2	38
DNA primase DnaGFUNC_PR10644	0	7	0	0	0	0	0	0	0	0	0	4
DNA primase large subunitFUNC_PR10645	0	0	0	0	0	0	1	0	0	4	0	0
DNA primase regulatory subunit PriLFUNC_PR10646	0	0	0	0	0	4	0	0	0	0	0	0
DNA primase small subunitFUNC_PR10647	0	0	0	0	0	2	0	0	0	0	0	0
DNA primase small subunit PriSFUNC_PR10648	2	0	0	0	1	12	0	0	0	0	0	0
DNA primase small subunit-likeFUNC_PR10649	0	0	0	1	0	0	0	0	0	0	0	1
DNA primase subunit PRI1FUNC_PR10650	5	0	0	3	3	0	0	1	1	10	0	0
DNA primase subunit PRI2FUNC_PR10651	2	0	0	1	7	0	1	0	3	8	0	0
DNA primase, partialFUNC_PR10652	8	10	0	0	4	47	1	0	0	4	0	8
DNA processing protein DprAFUNC_PR10653	21	21	0	7	13	90	2	1	0	16	1	6
DNA protecting protein DprAFUNC_PR10654	2	3	0	0	1	21	0	0	0	10	0	1
DNA recombinaseFUNC_PR10655	0	0	0	0	0	1	0	0	0	0	0	0
DNA recombination protein RecFFUNC_PR10656	0	0	0	0	1	9	0	0	0	3	0	0
DNA recombination protein RecF, partialFUNC_PR10657	0	0	0	0	0	0	0	0	0	1	0	0
DNA recombination protein RecNFUNC_PR10658	0	4	0	0	0	0	0	0	0	0	0	0
DNA recombination protein RecTFUNC_PR10659	0	6	0	0	0	0	0	0	0	0	0	0
DNA recombination protein RmuCFUNC_PR10660	28	23	0	0	9	99	0	2	0	9	0	9
DNA recombination protein RmuC, partialFUNC_PR10661	2	0	0	0	0	8	0	0	0	3	1	0
DNA recombination/repair protein RecAFUNC_PR10662	9	11	2	0	24	42	0	1	0	13	1	2
DNA recombination/repair protein RecA, partialFUNC_PR10663	4	0	0	0	0	1	1	1	0	1	0	2
DNA repair and recombination protein RAD54 and RAD54-like proteinFUNC_PR10664	0	2	0	0	1	1	0	0	0	0	0	0
DNA repair and recombination protein RAD54BFUNC_PR10665	0	0	0	0	0	9	0	0	0	0	0	0
DNA repair and recombination protein RadAFUNC_PR10666	0	4	0	0	0	0	0	0	0	0	0	0
DNA repair and recombination protein RadBFUNC_PR10667	0	2	0	0	0	0	0	0	0	3	0	0
DNA repair ATPaseFUNC_PR10668	29	21	0	2	12	74	1	0	0	29	2	2
DNA repair ATPase SbcCFUNC_PR10669	0	0	0	0	0	2	0	0	0	0	0	0
DNA repair ATPase SMC5FUNC_PR10670	0	2	0	2	7	0	0	3	5	21	5	0
DNA repair exonucleaseFUNC_PR10671	13	15	1	2	15	83	0	0	0	17	0	2
DNA repair exonuclease, partialFUNC_PR10672	0	0	0	0	0	0	0	0	0	1	0	0
DNA repair helicase RAD25FUNC_PR10673	0	0	0	0	4	0	0	4	1	2	11	0
DNA repair helicase RAD3FUNC_PR10674	0	0	0	0	0	0	1	0	0	0	0	0
DNA repair nucleotidyltransferaseFUNC_PR10675	35	6	0	0	9	58	0	2	0	17	0	4
DNA repair nucleotidyltransferase, partialFUNC_PR10676	2	0	0	0	0	0	0	0	0	1	0	0
DNA repair proteinFUNC_PR10677	26	15	0	0	11	65	2	1	0	25	1	8
DNA repair protein RAD10FUNC_PR10678	5	3	0	4	2	0	0	2	1	2	1	0
DNA repair protein rad14FUNC_PR10679	1	0	0	0	0	0	0	0	0	0	0	0
DNA repair protein RAD14FUNC_PR10680	0	0	0	9	11	5	0	2	10	34	13	0
DNA repair protein RAD16FUNC_PR10681	0	5	0	22	41	1	6	15	31	44	94	0
DNA repair protein rad16-likeFUNC_PR10682	0	0	0	0	0	1	0	0	0	0	0	0
DNA repair protein RAD5FUNC_PR10683	0	0	0	0	0	21	0	0	0	0	0	0
DNA repair protein RAD50FUNC_PR10684	4	0	0	0	0	1	0	0	0	1	0	0
