	control.B1	control.B2	experimental.B7	experimental.B8
(+)-neomenthol dehydrogenase isoform X2FUNC-1	1	0	0	0
(+)-neomenthol dehydrogenase-like isoform X1FUNC-2	1	0	0	0
(2Fe-2S) ferredoxinFUNC-3	0	1	0	0
(2Fe-2S)-binding proteinFUNC-4	18	52	1	2
(2Fe-2S)-binding protein, partialFUNC-5	2	0	0	0
(4Fe-4S)-binding proteinFUNC-6	0	1	0	0
(Fe-S)-binding proteinFUNC-7	3	3	1	0
(p)ppGpp synthetaseFUNC-8	4	7	0	2
(R,R)-butanediol dehydrogenaseFUNC-9	23	55	8	33
(R)-2-hydroxyglutarate---pyruvate transhydrogenaseFUNC-10	0	3	0	0
(S)-8-oxocitronellyl enol synthase CYC2-likeFUNC-11	42	32	0	0
(S)-beta-macrocarpene synthase-like, partialFUNC-12	0	2	0	0
(S)-coclaurine N-methyltransferase isoform X2FUNC-13	0	2	0	0
(S)-ureidoglycine aminohydrolaseFUNC-14	0	9	0	0
1-(5-phosphoribosyl)-5FUNC-15	4	16	0	0
1-(5-phosphoribosyl)-5- ((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase HIS6FUNC-16	0	1	0	6
1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomeraseFUNC-17	7	1	0	5
1-(5-phosphoribosyl)-5-amino-4-imidazole-carboxylate carboxylaseFUNC-18	11	2	0	0
1-acyl-sn-glycerol-3-phosphate acyltransferaseFUNC-19	41	21	1	0
1-acyl-sn-glycerol-3-phosphate acyltransferase 2 isoform X2FUNC-20	2	0	0	0
1-acyl-sn-glycerol-3-phosphate acyltransferase, partialFUNC-21	17	9	0	0
1-acylglycerol-3-phosphate OFUNC-22	1	0	0	0
1-acylglycerol-3-phosphate O-acyltransferase SLC1FUNC-23	6	0	4	5
1-alkyl-2-acetylglycerophosphocholine esteraseFUNC-24	0	1	0	0
1-aminocyclopropane-1-carboxylate deaminaseFUNC-25	1	5	0	2
1-aminocyclopropane-1-carboxylate oxidase 3FUNC-26	8	2	0	0
1-aminocyclopropane-1-carboxylate oxidase 3-like, partialFUNC-27	0	2	0	0
1-aminocyclopropane-1-carboxylate oxidase homolog 1-likeFUNC-28	1	1	0	0
1-deoxy-D-xylulose-5-phosphate reductoisomeraseFUNC-29	32	43	3	1
1-deoxy-D-xylulose-5-phosphate synthaseFUNC-30	43	80	0	4
1-deoxy-D-xylulose-5-phosphate synthase, partialFUNC-31	1	0	0	0
1-phosphatidylinositol 4-kinaseFUNC-32	3	0	4	7
1-phosphatidylinositol 4-kinase LSB6FUNC-33	5	4	4	11
1-phosphatidylinositol 4-kinase STT4FUNC-34	10	0	4	13
1-phosphatidylinositol-3-phosphate 5-kinaseFUNC-35	11	8	7	15
1-phosphatidylinositol-3-phosphate 5-kinase FAB1BFUNC-36	4	0	0	0
1-phosphatidylinositol-3-phosphate 5-kinase FAB1B isoform X1FUNC-37	0	0	0	1
1-phosphatidylinositol-4-phosphate 5-kinaseFUNC-38	3	0	7	12
1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase 1FUNC-39	4	0	0	0
1-phosphofructokinaseFUNC-40	13	2	0	1
1-phosphofructokinase, partialFUNC-41	1	20	0	0
1-pyrroline-5-carboxylate dehydrogenaseFUNC-42	63	59	26	70
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 1FUNC-43	3	0	0	0
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 2FUNC-44	4	6	0	1
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase-likeFUNC-45	0	0	0	1
1,2-phenylacetyl-CoA epoxidase subunit AFUNC-46	0	2	0	0
1,3-beta glucan synthaseFUNC-47	38	2	0	0
1,3-beta-D-glucan synthaseFUNC-48	103	9	60	103
1,3-beta-galactosyl-N-acetylhexosamine phosphorylaseFUNC-49	9	0	0	0
1,3-beta-glucan synthaseFUNC-50	2	1	1	1
1,3-beta-glucan synthase componentFUNC-51	0	0	0	1
1,3-beta-glucan synthase component bgs4FUNC-52	0	0	2	1
1,3-beta-glucan synthase component FKS1-likeFUNC-53	1	0	1	0
1,3-beta-glucan synthase component GLS2FUNC-54	0	0	1	0
1,3-beta-glucan synthase GSC2FUNC-55	34	29	15	78
1,3-beta-glucan synthase subunit Bgs4FUNC-56	0	0	1	0
1,3-beta-glucanosyltransferaseFUNC-57	21	33	22	54
1,3-beta-glucanosyltransferase GAS1FUNC-58	153	43	27	32
1,3-beta-glucanosyltransferase gel1FUNC-59	1	2	0	0
1,3-beta-glucanosyltransferase gel1 precursorFUNC-60	0	0	0	1
1,3-beta-glucanosyltransferase gel2FUNC-61	0	1	0	0
1,3-beta-glucanosyltransferase gel3FUNC-62	0	0	0	1
1,3,6,8-tetra-HN reductaseFUNC-63	0	0	3	3
1,4-alpha-glucan branching enzymeFUNC-64	46	26	7	28
1,4-alpha-glucan branching proteinFUNC-65	4	0	0	0
1,4-alpha-glucan-branching enzyme 1, chloroplastic/amyloplastic-like, partialFUNC-66	0	1	0	0
1,4-alpha-glucan-branching enzyme-like, partialFUNC-67	0	0	1	0
1,4-alpha-glucan-branching proteinFUNC-68	8	19	0	0
1,4-beta-N-acetylmuramidaseFUNC-69	2	0	0	0
1,4-beta-xylanaseFUNC-70	2	0	0	1
1,4-dihydroxy-2-naphthoate polyprenyltransferaseFUNC-71	8	15	0	0
1,4-dihydroxy-2-naphthoate polyprenyltransferase, partialFUNC-72	2	0	0	0
1,4-dihydroxy-2-naphthoyl-CoA synthaseFUNC-73	10	0	0	0
1,4-dihydroxy-2-naphthoyl-CoA synthase, partialFUNC-74	0	1	0	0
1,4-dihydroxy-2-naphthoyl-CoA thioesterase 1FUNC-75	1	0	0	0
1,4-dihydroxy-6-naphthoate synthaseFUNC-76	0	2	0	0
1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenaseFUNC-77	2	0	0	0
10 kDa chaperonin 1, chloroplasticFUNC-78	2	1	0	0
10 kDa heat shock protein, mitochondrialFUNC-79	1	0	0	0
110 kDa U5 small nuclear ribonucleoprotein component CLOFUNC-80	1	0	0	1
12-oxophytodienoate reductase 3FUNC-81	1	0	0	0
13 kDa ribonucleoprotein-associated proteinFUNC-82	0	1	0	0
14 kDa subunit of cytochrome bd ubiquinol oxidaseFUNC-83	1	0	1	0
14 kDa zinc-binding proteinFUNC-84	14	0	0	0
14-3-3 family protein BMH1FUNC-85	65	38	15	117
14-3-3 family protein BMH2FUNC-86	12	0	2	11
14-3-3 proteinFUNC-87	5	1	4	10
14-3-3 protein 9-likeFUNC-88	0	0	1	1
14-3-3 protein epsilonFUNC-89	1	1	0	2
14-3-3 protein homologFUNC-90	0	0	0	1
14-3-3 protein zetaFUNC-91	0	2	0	0
14-3-3-like proteinFUNC-92	3	0	1	0
14-3-3-like protein DFUNC-93	2	0	0	1
14-3-3-like protein GF14 iotaFUNC-94	9	0	0	0
14-3-3-like protein GF14 kappaFUNC-95	3	0	1	1
14-3-3-like protein isoform X2FUNC-96	1	0	0	0
14-alpha sterol demethylaseFUNC-97	1	0	0	0
14-alpha sterol demethylase cyp51bFUNC-98	1	0	0	0
14-alpha sterol demethylase Cyp51BFUNC-99	0	0	0	3
15-cis-phytoene desaturase, chloroplastic/chromoplastic-likeFUNC-100	0	1	0	0
15-cis-zeta-carotene isomerase, chloroplastic-likeFUNC-101	1	0	0	0
16S ribosomal RNA methyltransferase AFUNC-102	6	6	0	0
16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferaseFUNC-103	23	35	1	1
16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase, partialFUNC-104	2	6	0	0
16S rRNA (cytidine(1402)-2'-O)-methyltransferaseFUNC-105	31	41	1	1
16S rRNA (cytosine(1402)-N(4))-methyltransferaseFUNC-106	47	31	2	1
16S rRNA (cytosine(1402)-N(4))-methyltransferase, partialFUNC-107	7	0	0	0
16S rRNA (cytosine(967)-C(5))-methyltransferaseFUNC-108	10	10	0	1
16S rRNA (cytosine(967)-C(5))-methyltransferase, partialFUNC-109	1	0	0	0
16S rRNA (guanine(527)-N(7))-methyltransferase RsmGFUNC-110	3	8	0	4
16S rRNA (guanine(527)-N(7))-methyltransferase RsmG, partialFUNC-111	2	1	0	0
16S rRNA (guanine(966)-N(2))-methyltransferaseFUNC-112	4	0	0	0
16S rRNA (guanine(966)-N(2))-methyltransferase RsmDFUNC-113	1	0	1	0
16S rRNA (uracil(1498)-N(3))-methyltransferaseFUNC-114	21	18	0	1
16S rRNA maturation RNase YbeYFUNC-115	1	0	0	0
16S rRNA methyltransferaseFUNC-116	1	9	0	0
16S rRNA methyltransferase, partialFUNC-117	1	0	0	0
16S rRNA processing protein RimMFUNC-118	3	1	0	0
16S rRNA pseudouridine(516) synthaseFUNC-119	8	0	0	0
16S rRNA pseudouridine(516) synthase, partialFUNC-120	3	0	0	0
17-beta-hydroxysteroid dehydrogenase-like proteinFUNC-121	0	1	3	11
17.1 kDa class II heat shock protein-likeFUNC-122	9	5	0	0
17.3 kDa class II heat shock protein-likeFUNC-123	11	1	0	0
18S rRNA (adenine1779-N6/adenine1780-N6)-dimethyltransferaseFUNC-124	0	3	0	0
18S rRNA (guanine1575-N7)-methyltransferaseFUNC-125	0	0	7	30
18S rRNA biogenesis proteinFUNC-126	1	0	0	0
2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomeraseFUNC-127	2	4	0	0
2-(3-amino-3-carboxypropyl)histidine synthaseFUNC-128	18	4	3	19
2-(3-amino-3-carboxypropyl)histidine synthase subunit 1FUNC-129	2	4	0	0
2-acyl-glycerophospho-ethanolamine acyltransferaseFUNC-130	0	6	0	0
2-acylglycerol O-acyltransferase 2FUNC-131	7	0	0	0
2-alkenal reductaseFUNC-132	1	12	0	0
2-alkenal reductase (NADP(+)-dependent)FUNC-133	4	0	0	0
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinaseFUNC-134	10	17	1	1
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase, partialFUNC-135	4	0	0	0
2-aminoadipate transaminaseFUNC-136	8	5	6	33
2-aminobenzoate-CoA ligaseFUNC-137	7	2	0	0
2-aminoethylphosphonate ABC transporter permease subunitFUNC-138	1	0	0	0
2-aminoethylphosphonate aminotransferaseFUNC-139	3	0	0	0
2-aminoethylphosphonate--pyruvate transaminaseFUNC-140	0	0	1	0
2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthaseFUNC-141	11	4	1	2
2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase, chloroplasticFUNC-142	3	0	0	0
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferaseFUNC-143	13	22	0	0
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, partialFUNC-144	0	4	0	0
2-Cys peroxiredoxin BAS1, chloroplastic-likeFUNC-145	8	0	0	0
2-dehydro-3-deoxy-6-phosphogalactonate aldolaseFUNC-146	3	2	0	0
2-dehydro-3-deoxy-D-gluconate 5-dehydrogenaseFUNC-147	0	7	0	0
2-dehydro-3-deoxygalactonokinaseFUNC-148	2	8	0	1
2-dehydro-3-deoxyphosphooctonate aldolaseFUNC-149	4	0	0	0
2-dehydropantoate 2-reductaseFUNC-150	19	4	2	1
2-dehydropantoate 2-reductase PAN5FUNC-151	0	0	0	3
2-deoxy-D-gluconate 3-dehydrogenaseFUNC-152	2	0	0	0
2-deoxy-D-gluconate 3-dehydrogenase, partialFUNC-153	0	5	0	0
2-deoxyglucose-6-phosphataseFUNC-154	3	3	1	4
2-deoxyribose-5-phosphate aldolaseFUNC-155	17	8	0	0
2-enoate reductaseFUNC-156	38	25	0	0
2-epi-5-epi-valiolone synthaseFUNC-157	0	1	0	0
2-haloacrylate reductase-likeFUNC-158	2	2	0	0
2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferaseFUNC-159	3	0	5	4
2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphataseFUNC-160	0	1	0	0
2-hydroxy-3-oxopropionate reductaseFUNC-161	14	0	1	0
2-hydroxy-3-oxopropionate reductase, partialFUNC-162	0	0	0	1
2-hydroxy-6-oxo-2,4-heptadienoate hydrolase, partialFUNC-163	0	0	0	1
2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolaseFUNC-164	3	0	0	0
2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolaseFUNC-165	2	0	0	0
2-hydroxy-acid oxidaseFUNC-166	4	8	0	0
2-hydroxyacid dehydrogenaseFUNC-167	8	12	1	0
2-hydroxyacid dehydrogenase, partialFUNC-168	2	0	0	0
2-hydroxyacyl-CoA dehydrataseFUNC-169	3	1	0	0
2-hydroxyacyl-CoA lyaseFUNC-170	18	4	1	0
2-hydroxychromene-2-carboxylate isomeraseFUNC-171	8	3	1	0
2-hydroxycyclohexanecarboxyl-CoA dehydrogenaseFUNC-172	7	0	0	0
2-hydroxyglutarate dehydrogenaseFUNC-173	0	10	0	0
2-hydroxyglutaryl-CoA dehydrataseFUNC-174	8	11	0	0
2-hydroxyhepta-2,4-diene-1,7-dioate isomeraseFUNC-175	15	11	0	0
2-hydroxyisoflavanone dehydratase-likeFUNC-176	3	0	0	0
2-hydroxymuconate semialdehyde hydrolaseFUNC-177	0	1	0	0
2-hydroxypent-2, 4-dienoate hydrataseFUNC-178	0	0	2	0
2-hydroxypent-2,4-dienoate hydrataseFUNC-179	0	0	0	1
2-isopropylmalate synthaseFUNC-180	55	83	6	4
2-isopropylmalate synthase A-like isoform X1FUNC-181	3	0	0	0
2-isopropylmalate synthase A-like isoform X2FUNC-182	1	2	0	0
2-isopropylmalate synthase LEU4FUNC-183	33	3	6	17
2-isopropylmalate synthase LEU9FUNC-184	7	0	2	0
2-isopropylmalate synthase, partialFUNC-185	0	0	1	0
2-keto-4-pentenoate hydrataseFUNC-186	7	0	0	0
2-keto-4-pentenoate hydratase, partialFUNC-187	0	5	0	0
2-keto-myo-inositol dehydrataseFUNC-188	5	1	0	0
2-ketogluconate transporterFUNC-189	1	0	0	0
2-methylaconitate cis-trans isomerase PrpFFUNC-190	14	9	0	0
2-methylcitrate dehydrataseFUNC-191	4	12	1	0
2-methylcitrate dehydratase-like proteinFUNC-192	1	0	0	1
2-methylcitrate synthaseFUNC-193	2	2	0	1
2-methylcitrate synthase, partialFUNC-194	0	2	0	0
2-methylmalate dehydratase large subunitFUNC-195	14	0	0	0
2-nitropropane dioxygenaseFUNC-196	9	23	0	0
2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylaseFUNC-197	2	4	4	0
2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase, partialFUNC-198	0	0	1	0
2-octaprenyl-6-methoxyphenyl hydroxylaseFUNC-199	4	8	2	1
2-octaprenylphenol hydroxylase, partialFUNC-200	0	2	0	0
2-oxo acid dehydrogenase subunit E2FUNC-201	2	4	0	0
2-oxo-hepta-3-ene-1,7-dioate hydrataseFUNC-202	0	1	0	1
2-oxo-hepta-3-ene-1,7-dioic acid hydrataseFUNC-203	0	0	0	1
2-oxoacid ferredoxin oxidoreductase subunit betaFUNC-204	0	6	0	0
2-oxoacid ferredoxin oxidoreductase, partialFUNC-205	0	1	0	0
2-oxoacid:acceptor oxidoreductaseFUNC-206	1	0	0	0
2-oxoacid:acceptor oxidoreductase subunit alphaFUNC-207	9	8	0	0
2-oxoacid:ferredoxin oxidoreductase subunit betaFUNC-208	2	10	0	0
2-oxoglutarate dehydrogenaseFUNC-209	2	0	0	0
2-oxoglutarate dehydrogenase E1 componentFUNC-210	34	58	10	14
2-oxoglutarate dehydrogenase E1 component, partialFUNC-211	1	4	2	1
2-oxoglutarate dehydrogenase E2FUNC-212	0	1	0	0
2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase)FUNC-213	0	9	0	0
2-oxoglutarate dehydrogenase subunit E1FUNC-214	16	31	3	3
2-oxoglutarate dehydrogenase subunit E1, partialFUNC-215	0	0	1	0
2-oxoglutarate dehydrogenase-like protein E1 componentFUNC-216	0	0	0	1
2-oxoglutarate dehydrogenase, E1 componentFUNC-217	0	1	0	1
2-oxoglutarate dehydrogenase, E2 component, dihydrolipoamide succinyltransferaseFUNC-218	3	10	0	0
2-oxoglutarate dehydrogenase, E2 component, dihydrolipoamide succinyltransferase, partialFUNC-219	9	6	1	1
2-oxoglutarate dehydrogenase, mitochondrialFUNC-220	6	0	0	0
2-oxoglutarate dehydrogenase, mitochondrial-likeFUNC-221	3	0	0	0
2-oxoglutarate dehydrogenase, partialFUNC-222	0	1	0	0
2-oxoglutarate ferredoxin oxidoreductase subunit alphaFUNC-223	7	2	0	0
2-oxoglutarate translocatorFUNC-224	1	0	0	0
2-oxoglutarate-Fe(II) type oxidoreductase hxnY isoform X2FUNC-225	2	2	0	0
2-oxoisovalerate dehydrogenase subunit alpha 1, mitochondrial-likeFUNC-226	1	0	0	0
2-phospho-D-glycerate hydro-lyase, putativeFUNC-227	1	0	0	0
2-phosphoglycolate phosphataseFUNC-228	1	0	0	0
2-phosphosulfolactate phosphataseFUNC-229	0	4	0	0
2-polyprenyl-6-methoxyphenol hydroxylaseFUNC-230	2	2	0	0
2-polyprenylphenol 6-hydroxylaseFUNC-231	0	1	0	0
2-polyprenylphenol hydroxylaseFUNC-232	8	2	0	0
2-pyrone-4,6-dicarboxylate hydrolaseFUNC-233	4	14	0	0
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthaseFUNC-234	16	9	0	0
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase, partialFUNC-235	0	5	0	0
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthaseFUNC-236	26	14	0	0
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase, partialFUNC-237	3	0	0	1
2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthaseFUNC-238	4	0	0	0
2-succinylbenzoate-CoA ligaseFUNC-239	0	5	0	0
2, 4-dichlorophenol 6-monooxygenaseFUNC-240	0	0	0	1
2,3-bisphosphoglycerate-dependent phosphoglycerate mutaseFUNC-241	0	0	0	1
2,3-bisphosphoglycerate-independent phosphoglycerate mutaseFUNC-242	22	15	2	1
2,3-bisphosphoglycerate-independent phosphoglycerate mutase-likeFUNC-243	6	0	1	0
2,3-butanediol dehydrogenaseFUNC-244	6	5	0	0
2,3-dehydroadipyl-CoA hydrataseFUNC-245	6	0	0	0
2,3-diaminopropionate biosynthesis protein SbnAFUNC-246	6	13	0	0
2,3-diaminopropionate biosynthesis protein SbnBFUNC-247	7	6	0	0
2,3-diaminopropionate biosynthesis protein SbnB, partialFUNC-248	1	0	0	0
2,3-dihydro-2,3-dihydroxybenzoate dehydrogenaseFUNC-249	3	0	0	0
2,3-dihydroxybenzoate-AMP ligaseFUNC-250	2	0	0	0
2,3,4,5-tetrahydropyridine-2,6-carboxylate N-succinyltransferaseFUNC-251	0	2	0	0
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferaseFUNC-252	30	12	0	0
2,4-diaminobutyrate 4-aminotransferase, partialFUNC-253	0	9	0	0
2,4-dichlorophenol 6-monooxygenaseFUNC-254	8	0	0	0
2,4-dienoyl-CoA reductaseFUNC-255	1	13	0	0
2,4-dienoyl-CoA reductase (NADPH)FUNC-256	3	1	4	9
2,4-dienoyl-CoA reductase, partialFUNC-257	0	1	0	0
2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolaseFUNC-258	1	7	0	0
2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductaseFUNC-259	1	0	0	3
2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenaseFUNC-260	0	3	0	0
2,5-didehydrogluconate reductase AFUNC-261	3	0	0	0
2,5-didehydrogluconate reductase BFUNC-262	1	5	0	0
2,5-diketo-D-gluconic acid reductaseFUNC-263	3	5	0	0
2,6-beta-D-fructofuranosidaseFUNC-264	0	1	0	0
2'-5' RNA ligaseFUNC-265	1	0	0	0
2'-O-ribose tRNA anticodon loop methyltransferase, putativeFUNC-266	1	0	0	0
2',3'-cyclic-nucleotide 2'-phosphodiesteraseFUNC-267	9	3	0	0
2',3'-cyclic-nucleotide 3'-phosphodiesteraseFUNC-268	0	0	1	1
20S proteasome subunit A/BFUNC-269	0	5	0	0
20S proteasome subunit alpha 3FUNC-270	1	4	1	0
20S proteasome subunit Y7FUNC-271	1	0	0	1
21 kDa protein-likeFUNC-272	102	44	1	10
21S rRNA (uridine2791-2'-O) methyltransferaseFUNC-273	0	0	0	1
22.0 kDa class IV heat shock proteinFUNC-274	2	0	1	0
22.0 kDa class IV heat shock protein-likeFUNC-275	3	1	0	0
23 kDa subunit of NADH-ubiquinone oxidoreductase, partialFUNC-276	0	0	0	1
23.6 kDa heat shock protein, mitochondrial-likeFUNC-277	0	0	0	2
23S ribosomal RNA methyltransferase Erm, partialFUNC-278	3	0	0	0
23S rRNA (adenine(1618)-N(6))-methyltransferaseFUNC-279	0	2	0	0
23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJFUNC-280	5	2	0	0
23S rRNA (adenine(2503)-C(2))-methyltransferase RlmNFUNC-281	19	11	1	0
23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN, partialFUNC-282	1	0	0	0
23S rRNA (cytidine(2498)-2'-O)-methyltransferase RlmMFUNC-283	0	3	0	0
23S rRNA (cytidine(2498)-2'-O)-methyltransferase RlmM, partialFUNC-284	1	0	0	1
23S rRNA (guanine(2445)-N(2))/(guanine(2069)-N(7))-methyltransferaseFUNC-285	7	2	4	2
23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmBFUNC-286	30	9	0	1
23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB, partialFUNC-287	11	12	1	0
23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmHFUNC-288	6	3	0	0
23S rRNA (uracil(1939)-C(5))-methyltransferaseFUNC-289	3	20	1	0
23S rRNA (uracil(1939)-C(5))-methyltransferase RlmDFUNC-290	8	5	1	1
23S rRNA (uracil(747)-C(5))-methyltransferaseFUNC-291	0	1	0	1
23S rRNA (uridine(2552)-2'-O)-methyltransferaseFUNC-292	5	1	1	0
23S rRNA methyltransferaseFUNC-293	5	2	0	0
23S rRNA pseudouridine(1911/1915/1917) synthaseFUNC-294	3	14	1	0
23S rRNA pseudouridine(955/2504/2580) synthaseFUNC-295	0	2	0	0
23S rRNA pseudouridylate synthaseFUNC-296	1	3	0	0
23S rRNA pseudouridylate synthase BFUNC-297	1	1	2	0
23S rRNA pseudouridylate synthase B, partialFUNC-298	0	0	1	1
24-methylenesterol C-methyltransferase 2FUNC-299	2	2	0	0
25S rRNA (adenine-N(1))-methyltransferase-likeFUNC-300	0	0	1	0
25S rRNA (adenine2142-N1)-methyltransferaseFUNC-301	3	4	7	6
25S rRNA (adenine645-N1)-methyltransferaseFUNC-302	4	0	8	12
25S rRNA (cytosine(2870)-C(5))-methyltransferase-likeFUNC-303	0	0	1	0
25S rRNA (uracil2634-N3)-methyltransferaseFUNC-304	1	0	2	1
25S rRNA (uracil2843-N3)-methyltransferaseFUNC-305	3	0	2	0
26S protease regulatory subunitFUNC-306	0	0	0	1
26S protease regulatory subunit 4FUNC-307	1	0	0	1
26s protease regulatory subunit 6aFUNC-308	1	0	0	0
26S protease regulatory subunit 6AFUNC-309	2	0	1	2
26S protease regulatory subunit 6BFUNC-310	0	0	1	1
26S protease regulatory subunit 7FUNC-311	1	4	0	0
26S protease regulatory subunit 8FUNC-312	0	3	0	0
26S protease regulatory subunit 8, putative, partialFUNC-313	0	0	1	0
26S protease subunit rpt4FUNC-314	0	0	2	1
26S proteasome non-ATPase regulatory subunit 1 homolog AFUNC-315	7	1	0	0
26S proteasome non-ATPase regulatory subunit 1 homolog A-likeFUNC-316	3	0	0	0
26S proteasome non-ATPase regulatory subunit 1-likeFUNC-317	0	0	1	0
26S proteasome non-ATPase regulatory subunit 10-like isoform X2FUNC-318	5	0	0	0
26S proteasome non-ATPase regulatory subunit 11FUNC-319	0	0	1	0
26S proteasome non-ATPase regulatory subunit 12 homolog AFUNC-320	1	1	0	0
26S proteasome non-ATPase regulatory subunit 13 homolog AFUNC-321	3	0	0	1
26S proteasome non-ATPase regulatory subunit 13 homolog B-likeFUNC-322	1	0	0	0
26S proteasome non-ATPase regulatory subunit 14 homologFUNC-323	1	0	0	0
26S proteasome non-ATPase regulatory subunit 14 homolog, partialFUNC-324	4	0	0	0
26S proteasome non-ATPase regulatory subunit 4 homologFUNC-325	4	0	0	1
26S proteasome non-ATPase regulatory subunit 6FUNC-326	1	0	2	0
26S proteasome non-ATPase regulatory subunit 6 homologFUNC-327	2	0	0	0
26S proteasome non-ATPase regulatory subunit 6-likeFUNC-328	0	4	0	0
26S proteasome non-ATPase regulatory subunit 7 homolog A-likeFUNC-329	1	0	0	0
26S proteasome non-ATPase regulatory subunit 8 homolog AFUNC-330	1	0	0	0
26S proteasome non-ATPase regulatory subunit 8 homolog A-like isoform X2FUNC-331	3	0	0	0
26S proteasome non-ATPase regulatory subunit 9 isoform X2FUNC-332	0	1	0	0
26S proteasome non-ATPase-like protein regulatory subunit 12FUNC-333	0	0	1	1
26S proteasome nonATPase regulatory subunit 7, putativeFUNC-334	0	0	1	0
26S proteasome regulatory complexFUNC-335	0	2	0	0
26S proteasome regulatory complex ATPase RPT2FUNC-336	0	0	1	0
26S proteasome regulatory complex subunit RPN11, putativeFUNC-337	0	0	0	2
26S proteasome regulatory complex, non-ATPase subcomplex, Rpn1 subunitFUNC-338	0	1	0	0
26S proteasome regulatory complex, non-ATPase subcomplex, Rpn2/Psmd1 subunitFUNC-339	1	0	0	0
26S proteasome regulatory subunit 10B homolog A-likeFUNC-340	0	1	0	0
26S proteasome regulatory subunit 4 homolog isoform X1FUNC-341	0	0	0	1
26S proteasome regulatory subunit 6AFUNC-342	0	0	1	0
26S proteasome regulatory subunit 6A homologFUNC-343	13	0	0	0
26S proteasome regulatory subunit 6A homolog AFUNC-344	0	0	1	0
26S proteasome regulatory subunit 6A homolog, partialFUNC-345	7	0	0	1
26S proteasome regulatory subunit 6BFUNC-346	3	0	0	1
26S proteasome regulatory subunit 6B homologFUNC-347	15	0	0	0
26S proteasome regulatory subunit 6B homolog, partialFUNC-348	1	0	0	0
26S proteasome regulatory subunit 7FUNC-349	0	0	0	2
26S proteasome regulatory subunit 7-likeFUNC-350	1	0	0	0
26S proteasome regulatory subunit 8 homolog AFUNC-351	1	0	0	0
26S proteasome regulatory subunit N1FUNC-352	0	9	0	0
26S proteasome regulatory subunit N10FUNC-353	9	0	0	0
26S proteasome regulatory subunit N12FUNC-354	3	0	0	0
26S proteasome regulatory subunit N2FUNC-355	7	0	0	0
26S proteasome regulatory subunit N3FUNC-356	3	0	0	0
26S proteasome regulatory subunit N6FUNC-357	0	2	0	0
26S proteasome regulatory subunit N7FUNC-358	1	0	0	0
26S proteasome regulatory subunit N8FUNC-359	0	1	0	0
26S proteasome regulatory subunit N9FUNC-360	2	0	0	0
26S proteasome regulatory subunit rpn-1-likeFUNC-361	1	0	0	0
26S proteasome regulatory subunit rpn-8FUNC-362	0	1	0	1
26S proteasome regulatory subunit RPN10-likeFUNC-363	1	1	1	0
26S proteasome regulatory subunit RPN11FUNC-364	1	0	0	1
26S proteasome regulatory subunit rpn11-likeFUNC-365	0	0	0	1
26S proteasome regulatory subunit rpn12-likeFUNC-366	0	0	2	0
