	control.B5	control.B6	experimental.B11	experimental.B12
(2E,6E)-farnesyl diphosphate synthaseFUNC-1	0	0	1	3
(2Fe-2S) ferredoxinFUNC-2	0	7	0	1
(2Fe-2S)-binding proteinFUNC-3	8	94	3	26
(2Fe-2S)-binding protein, partialFUNC-4	0	2	0	0
(2R)-phospho-3-sulfolactate synthaseFUNC-5	0	3	0	0
(3R)-hydroxymyristoyl-ACP dehydrataseFUNC-6	1	0	0	0
(4Fe-4S)-binding proteinFUNC-7	1	9	0	2
(deoxy)nucleoside triphosphate pyrophosphohydrolaseFUNC-8	0	2	1	0
(dl)-glycerol-3-phosphatase, putativeFUNC-9	3	0	0	0
(Fe-S)-binding proteinFUNC-10	1	23	0	10
(Fe-S)-cluster assembly proteinFUNC-11	0	3	0	0
(Na+)-NQR maturation NqrMFUNC-12	0	0	2	0
(p)ppGpp synthetaseFUNC-13	1	2	3	5
(R,R)-butanediol dehydrogenaseFUNC-14	592	45	503	5
(R)-2-hydroxyglutarate---pyruvate transhydrogenaseFUNC-15	0	1	0	0
(R)-hydrataseFUNC-16	0	7	1	0
(S)-8-oxocitronellyl enol synthase CYC2-likeFUNC-17	4	2	1	0
(S)-ureidoglycine aminohydrolaseFUNC-18	1	13	0	0
1-(5-phosphoribosyl)-5FUNC-19	1	22	2	24
1-(5-phosphoribosyl)-5- ((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase HIS6FUNC-20	4	0	3	0
1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomeraseFUNC-21	0	1	0	0
1-(5-phosphoribosyl)-5-amino-4-imidazole-carboxylate carboxylaseFUNC-22	0	8	0	1
1-acyl-sn-glycerol-3-phosphate acyltransferaseFUNC-23	25	152	4	34
1-acyl-sn-glycerol-3-phosphate acyltransferase, partialFUNC-24	6	37	0	0
1-acylglycerol-3-phosphate O-acyltransferaseFUNC-25	1	0	0	0
1-acylglycerol-3-phosphate O-acyltransferase SLC1FUNC-26	10	2	19	0
1-aminocyclopropane-1-carboxylate deaminaseFUNC-27	1	18	0	0
1-aminocyclopropane-1-carboxylate oxidase 3FUNC-28	0	0	4	0
1-deoxy-D-xylulose-5-phosphate reductoisomeraseFUNC-29	24	72	1	23
1-deoxy-D-xylulose-5-phosphate reductoisomerase, partialFUNC-30	1	2	0	0
1-deoxy-D-xylulose-5-phosphate synthaseFUNC-31	39	241	3	22
1-deoxy-D-xylulose-5-phosphate synthase, partialFUNC-32	0	6	0	11
1-phosphatidylinositol 3-phosphate 5-kinase fab1-likeFUNC-33	0	1	0	0
1-phosphatidylinositol 4-kinaseFUNC-34	13	0	15	0
1-phosphatidylinositol 4-kinase LSB6FUNC-35	20	9	31	0
1-phosphatidylinositol 4-kinase STT4FUNC-36	16	1	12	0
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase classes I and II-likeFUNC-37	2	0	0	0
1-phosphatidylinositol-3-phosphate 5-kinaseFUNC-38	50	13	43	0
1-phosphatidylinositol-4-phosphate 5-kinaseFUNC-39	41	22	22	0
1-phosphofructokinaseFUNC-40	3	44	0	0
1-phosphofructokinase, partialFUNC-41	21	16	0	0
1-pyrroline-5-carboxylate dehydrogenaseFUNC-42	108	165	19	18
1-pyrroline-5-carboxylate dehydrogenase, partialFUNC-43	0	9	0	0
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 2FUNC-44	1	0	0	0
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 4FUNC-45	0	4	0	0
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 4-likeFUNC-46	1	0	0	0
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase-likeFUNC-47	1	0	0	0
1,2-phenylacetyl-CoA epoxidase subunit AFUNC-48	1	4	0	0
1,3-1,4-beta-glycanaseFUNC-49	1	3	0	0
1,3-beta glucan synthaseFUNC-50	3	0	3	0
1,3-beta-D-glucan synthaseFUNC-51	280	15	101	0
1,3-beta-galactosyl-N-acetylhexosamine phosphorylaseFUNC-52	7	6	0	0
1,3-beta-glucan synthaseFUNC-53	5	19	0	0
1,3-beta-glucan synthase componentFUNC-54	1	0	0	0
1,3-beta-glucan synthase component bgs4FUNC-55	11	3	3	0
1,3-beta-glucan synthase component FKS1FUNC-56	1	1	4	0
1,3-beta-glucan synthase component FKS1-likeFUNC-57	2	1	1	0
1,3-beta-glucan synthase gsc2FUNC-58	0	0	2	0
1,3-beta-glucan synthase GSC2FUNC-59	1034	230	627	9
1,3-beta-glucan synthase subunit Bgs4FUNC-60	0	1	0	0
1,3-beta-glucanaseFUNC-61	0	0	0	11
1,3-beta-glucanosyltransferaseFUNC-62	200	55	120	2
1,3-beta-glucanosyltransferase GAS1FUNC-63	29	16	13	2
1,3-beta-glucanosyltransferase gel1FUNC-64	1	0	0	0
1,3-beta-glucanosyltransferase gel3FUNC-65	0	0	1	0
1,3-beta-glucanosyltransferase gel4FUNC-66	0	0	1	0
1,3,6,8-tetra-HN reductaseFUNC-67	1	2	0	1
1,4-alpha-glucan branching enzymeFUNC-68	130	199	41	20
1,4-alpha-glucan branching enzyme, partialFUNC-69	0	4	0	0
1,4-alpha-glucan branching proteinFUNC-70	3	31	0	0
1,4-alpha-glucan-branching enzymeFUNC-71	0	0	0	2
1,4-alpha-glucan-branching enzyme 1, chloroplastic/amyloplastic isoform X2FUNC-72	0	0	1	0
1,4-alpha-glucan-branching proteinFUNC-73	4	2	0	0
1,4-beta-D-glucan glucohydrolaseFUNC-74	3	5	0	0
1,4-beta-glucanaseFUNC-75	0	1	0	1
1,4-beta-N-acetylmuramidaseFUNC-76	0	13	0	0
1,4-beta-xylanaseFUNC-77	0	17	0	0
1,4-dihydroxy-2-naphthoate octaprenyltransferaseFUNC-78	2	7	0	18
1,4-dihydroxy-2-naphthoate polyprenyltransferaseFUNC-79	21	94	1	0
1,4-dihydroxy-2-naphthoate polyprenyltransferase, partialFUNC-80	0	1	0	0
1,4-dihydroxy-2-naphthoyl-CoA synthaseFUNC-81	2	13	2	0
1,4-dihydroxy-2-naphthoyl-CoA synthase, partialFUNC-82	0	0	0	5
1,4-dihydroxy-6-naphthoate synthaseFUNC-83	1	4	0	0
1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenaseFUNC-84	0	0	0	2
12-oxophytodienoate reductaseFUNC-85	0	1	0	0
14 kDa subunit of cytochrome bd ubiquinol oxidaseFUNC-86	0	1	0	1
14 kDa zinc-binding proteinFUNC-87	0	0	1	0
14-3-3 family protein BMH1FUNC-88	350	157	347	31
14-3-3 family protein BMH2FUNC-89	13	1	19	0
14-3-3 proteinFUNC-90	3	0	6	0
14-3-3 protein epsilonFUNC-91	1	0	0	0
14-3-3 protein homologFUNC-92	1	1	0	0
14-3-3 protein zeta-likeFUNC-93	0	3	0	0
14-3-3-like proteinFUNC-94	0	1	0	0
14-3-3-like protein CFUNC-95	0	0	1	0
14-3-3-like protein GF14 kappaFUNC-96	0	0	1	0
14-3-3-like protein, partialFUNC-97	0	0	2	0
14-alpha sterol demethylase Cyp51BFUNC-98	1	1	0	0
15-cis-phytoene desaturaseFUNC-99	0	0	0	1
16S ribosomal RNA methyltransferase AFUNC-100	0	0	0	7
16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferaseFUNC-101	19	57	2	12
16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmAFUNC-102	0	1	0	0
16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase, partialFUNC-103	1	0	0	0
16S rRNA (cytidine(1402)-2'-O)-methyltransferaseFUNC-104	23	62	1	4
16S rRNA (cytosine(1402)-N(4))-methyltransferaseFUNC-105	14	75	0	5
16S rRNA (cytosine(1407)-C(5))-methyltransferase RsmFFUNC-106	0	11	0	0
16S rRNA (cytosine(967)-C(5))-methyltransferaseFUNC-107	6	32	1	7
16S rRNA (cytosine(967)-C(5))-methyltransferase, partialFUNC-108	0	1	0	0
16S rRNA (guanine(527)-N(7))-methyltransferaseFUNC-109	1	7	0	1
16S rRNA (guanine(527)-N(7))-methyltransferase RsmGFUNC-110	1	52	0	15
16S rRNA (guanine(527)-N(7))-methyltransferase RsmG, partialFUNC-111	2	3	1	0
16S rRNA (guanine(966)-N(2))-methyltransferase RsmDFUNC-112	1	16	0	1
16S rRNA (uracil(1498)-N(3))-methyltransferaseFUNC-113	10	50	1	2
16S rRNA maturation RNase YbeYFUNC-114	0	18	0	0
16S rRNA methyltransferaseFUNC-115	0	27	0	4
16S rRNA processing protein RimMFUNC-116	0	17	0	9
16S rRNA pseudouridine(516) synthaseFUNC-117	1	17	2	2
17-beta-hydroxysteroid dehydrogenase-like proteinFUNC-118	29	2	10	0
17beta-estradiol 17-dehydrogenaseFUNC-119	1	0	0	0
18.1 kDa class I heat shock protein-likeFUNC-120	1	0	0	0
18S rRNA (adenine1779-N6/adenine1780-N6)-dimethyltransferaseFUNC-121	0	1	0	0
18S rRNA (guanine1575-N7)-methyltransferaseFUNC-122	9	7	22	0
18S rRNA biogenesis proteinFUNC-123	0	11	0	0
1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylaseFUNC-124	0	1	0	0
2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomeraseFUNC-125	2	1	0	0
2-(3-amino-3-carboxypropyl)histidine synthaseFUNC-126	97	17	81	0
2-acylglycerol O-acyltransferase 2FUNC-127	0	4	0	0
2-alkenal reductaseFUNC-128	2	28	1	7
2-amino-3-ketobutyrate CoA ligaseFUNC-129	0	3	0	0
2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthaseFUNC-130	2	0	0	0
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinaseFUNC-131	4	27	1	22
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinaseFUNC-132	1	3	0	0
2-aminoadipate aminotransferaseFUNC-133	0	2	0	0
2-aminoadipate transaminaseFUNC-134	67	10	32	0
2-aminobenzoate-CoA ligaseFUNC-135	0	3	0	2
2-aminoethylphosphonate aminotransferaseFUNC-136	0	0	1	0
2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthaseFUNC-137	6	37	0	25
2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase, partialFUNC-138	0	1	0	0
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferaseFUNC-139	15	46	1	2
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, partialFUNC-140	0	4	0	0
2-dehydro-3-deoxy-6-phosphogalactonate aldolaseFUNC-141	0	0	0	23
2-dehydro-3-deoxy-phosphogluconate aldolaseFUNC-142	0	2	0	0
2-dehydro-3-deoxyglucarate aldolaseFUNC-143	0	0	1	0
2-dehydro-3-deoxygluconokinaseFUNC-144	0	3	0	1
2-dehydro-3-deoxyphosphogluconate aldolaseFUNC-145	0	2	0	0
2-dehydro-3-deoxyphosphooctonate aldolaseFUNC-146	0	1	0	1
2-dehydropantoate 2-reductaseFUNC-147	15	41	1	0
2-dehydropantoate 2-reductase PAN5FUNC-148	1	0	1	0
2-dehydropantoate 2-reductase, partialFUNC-149	0	6	0	0
2-deoxy-D-gluconate 3-dehydrogenaseFUNC-150	1	7	0	12
2-deoxyglucose-6-phosphataseFUNC-151	10	0	16	0
2-deoxyribose-5-phosphate aldolaseFUNC-152	11	50	0	0
2-enoate reductaseFUNC-153	19	45	5	3
2-Hacid_dh_C-domain-containing proteinFUNC-154	0	1	0	0
2-haloacrylate reductase-likeFUNC-155	1	0	0	0
2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferaseFUNC-156	20	0	12	0
2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphataseFUNC-157	0	3	0	0
2-hydroxy-6-oxo-2,4-heptadienoate hydrolaseFUNC-158	0	0	0	1
2-hydroxy-acid oxidaseFUNC-159	2	35	1	3
2-hydroxyacid dehydrogenaseFUNC-160	2	15	1	23
2-hydroxyacyl-CoA lyaseFUNC-161	1	0	0	0
2-hydroxychromene-2-carboxylate isomeraseFUNC-162	0	13	0	0
2-hydroxycyclohexanecarboxyl-CoA dehydrogenaseFUNC-163	0	15	0	0
2-hydroxyglutarate dehydrogenaseFUNC-164	0	1	0	0
2-hydroxyglutaryl-CoA dehydrataseFUNC-165	4	17	0	0
2-hydroxyglutaryl-CoA dehydratase, D-componentFUNC-166	0	10	0	0
2-hydroxyhepta-2,4-diene-1,7-dioate isomeraseFUNC-167	2	68	0	1
2-iminoacetate synthase ThiHFUNC-168	0	6	0	0
2-iminoacetate synthase ThiH, partialFUNC-169	1	0	0	0
2-isopropylmalate synthaseFUNC-170	27	213	5	15
2-isopropylmalate synthase A-like isoform X2FUNC-171	2	0	0	0
2-isopropylmalate synthase LEU4FUNC-172	77	6	44	0
2-isopropylmalate synthase LEU9FUNC-173	16	4	6	0
2-isopropylmalate synthase, partialFUNC-174	0	3	0	0
2-keto-3-deoxy-L-rhamnonate aldolaseFUNC-175	1	0	0	6
2-keto-3-deoxy-L-rhamnonate aldolase-likeFUNC-176	0	0	2	0
2-keto-3-deoxygluconate kinaseFUNC-177	0	1	0	0
2-keto-3-deoxygluconate permeaseFUNC-178	1	1	0	0
2-keto-3-deoxygluconate transporterFUNC-179	0	0	0	1
2-keto-4-pentenoate hydrataseFUNC-180	2	3	2	0
2-keto-4-pentenoate hydratase, partialFUNC-181	2	3	0	0
2-keto-D-gluconate dehydrogenaseFUNC-182	0	4	0	0
2-ketocyclohexanecarboxyl-CoA hydrolaseFUNC-183	0	25	0	0
2-methoxy-6-polyprenyl-1,4-benzoquinol methylaseFUNC-184	1	0	0	0
2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial-likeFUNC-185	0	3	0	0
2-methylaconitate cis-trans isomerase PrpFFUNC-186	0	11	2	10
2-methylcitrate dehydrataseFUNC-187	2	2	0	1
2-methylcitrate dehydratase PrpDFUNC-188	0	0	0	3
2-methylcitrate synthaseFUNC-189	1	6	0	0
2-methylisocitrate lyaseFUNC-190	1	0	0	0
2-methylmalate dehydratase large subunitFUNC-191	6	12	0	0
2-methylpropanoate--CoA ligase CCL4-likeFUNC-192	0	0	1	0
2-nitropropane dioxygenaseFUNC-193	4	44	1	0
2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylaseFUNC-194	1	0	1	0
2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylaseFUNC-195	2	17	0	0
2-octaprenyl-6-methoxyphenol hydroxylaseFUNC-196	0	1	0	2
2-octaprenyl-6-methoxyphenyl hydroxylaseFUNC-197	2	5	1	6
2-octaprenylphenol hydroxylaseFUNC-198	0	14	0	0
2-oxo acid dehydrogenase subunit E2FUNC-199	2	2	0	13
2-oxo-3-hexenedioate decarboxylaseFUNC-200	0	0	1	0
2-oxo-hepta-3-ene-1,7-dioic acid hydrataseFUNC-201	0	3	0	4
2-oxoacid ferredoxin oxidoreductaseFUNC-202	0	2	0	2
2-oxoacid ferredoxin oxidoreductase subunit betaFUNC-203	9	34	0	2
2-oxoacid:acceptor oxidoreductaseFUNC-204	0	1	0	0
2-oxoacid:acceptor oxidoreductase family proteinFUNC-205	0	0	0	5
2-oxoacid:acceptor oxidoreductase subunit alphaFUNC-206	11	30	0	27
2-oxoacid:ferredoxin oxidoreductase subunit betaFUNC-207	3	0	0	0
2-oxoacid:ferredoxin oxidoreductase subunit gammaFUNC-208	0	10	0	0
2-oxodicarboxylate carrier 2FUNC-209	0	0	1	0
2-oxoglutarate dehydrogenaseFUNC-210	0	2	0	0
2-oxoglutarate dehydrogenase E1 componentFUNC-211	28	124	11	18
2-oxoglutarate dehydrogenase E1 component, partialFUNC-212	3	1	0	0
2-oxoglutarate dehydrogenase subunit E1FUNC-213	3	54	1	4
2-oxoglutarate dehydrogenase subunit E1, partialFUNC-214	3	1	0	0
2-oxoglutarate dehydrogenase-like, mitochondrialFUNC-215	0	0	0	1
2-oxoglutarate dehydrogenase, E2 component, dihydrolipoamide succinyltransferaseFUNC-216	5	37	0	1
2-oxoglutarate dehydrogenase, E2 component, dihydrolipoamide succinyltransferase, partialFUNC-217	11	44	0	0
2-oxoglutarate ferredoxin oxidoreductase subunit alphaFUNC-218	0	0	0	4
2-oxoglutarate oxidoreductase delta subunitFUNC-219	0	8	0	0
2-oxoglutarate synthaseFUNC-220	0	0	0	10
2-oxoglutarate translocatorFUNC-221	0	2	0	0
2-oxoisovalerate dehydrogenaseFUNC-222	0	11	0	4
2-oxoisovalerate dehydrogenase, partialFUNC-223	0	1	0	0
2-oxopent-4-enoate hydrataseFUNC-224	0	0	0	14
2-phospho-L-lactate transferaseFUNC-225	0	7	0	0
2-phosphosulfolactate phosphataseFUNC-226	0	3	0	0
2-phosphosulfolactate phosphatase, partialFUNC-227	0	1	0	0
2-polyprenyl-6-hydroxyphenyl methylase/3-demethylubiquinone-9 3-methyltransferaseFUNC-228	2	0	0	0
2-polyprenyl-6-methoxyphenol hydroxylase, partialFUNC-229	0	8	0	0
2-polyprenylphenol 6-hydroxylaseFUNC-230	0	8	0	2
2-polyprenylphenol hydroxylaseFUNC-231	4	0	0	0
2-pyrone-4,6-dicarboxylate hydrolaseFUNC-232	1	3	0	0
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthaseFUNC-233	25	22	0	2
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthaseFUNC-234	13	60	0	21
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase, partialFUNC-235	1	15	0	0
2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthaseFUNC-236	0	27	0	0
2-succinylbenzoate-CoA ligaseFUNC-237	0	17	0	0
2-vinyl bacteriochlorophyllide hydrataseFUNC-238	1	0	0	0
2,2-dialkylglycine decarboxylaseFUNC-239	0	7	0	0
2,3-bisphosphoglycerate-dependent phosphoglycerate mutaseFUNC-240	0	1	0	0
2,3-bisphosphoglycerate-independent phosphoglycerate mutaseFUNC-241	9	19	0	3
2,3-bisphosphoglycerate-independent phosphoglycerate mutase-likeFUNC-242	1	0	0	0
2,3-butanediol dehydrogenaseFUNC-243	0	20	0	0
2,3-dehydroadipyl-CoA hydrataseFUNC-244	0	0	0	5
2,3-diaminopropionate biosynthesis protein SbnAFUNC-245	4	2	0	5
2,3-diaminopropionate biosynthesis protein SbnBFUNC-246	3	23	0	0
2,3-dihydroxy-2,3-dihydro-p-cumate dehydrogenaseFUNC-247	0	1	0	0
2,3-dihydroxybenzoate-AMP ligaseFUNC-248	1	22	0	10
2,3-dihydroxybiphenyl 1,2-dioxygenaseFUNC-249	0	0	0	3
2,3,4,5-tetrahydropyridine-2,6-carboxylate N-succinyltransferaseFUNC-250	2	0	0	0
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferaseFUNC-251	0	3	0	0
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferaseFUNC-252	11	46	0	15
2,4-dichlorophenol 6-monooxygenaseFUNC-253	0	2	0	0
2,4-dienoyl-CoA reductaseFUNC-254	1	2	0	2
2,4-dienoyl-CoA reductase (NADPH)FUNC-255	36	2	35	4
2,4-dienoyl-CoA reductase, partialFUNC-256	0	2	0	2
2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolaseFUNC-257	0	1	0	0
2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase, partialFUNC-258	0	0	1	0
2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductaseFUNC-259	3	4	5	0
2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenaseFUNC-260	0	4	0	0
2,5-didehydrogluconate reductase BFUNC-261	3	0	0	0
2,5-diketo-D-gluconic acid reductaseFUNC-262	7	3	0	0
2'-5' RNA ligaseFUNC-263	3	8	3	0
2'-5' RNA ligase family proteinFUNC-264	0	2	0	0
2'-deoxycytidine 5'-triphosphate deaminaseFUNC-265	2	0	0	0
2',3'-cyclic-nucleotide 2'-phosphodiesteraseFUNC-266	3	26	3	12
2',3'-cyclic-nucleotide 2'-phosphodiesterase, partialFUNC-267	0	0	0	1
2',3'-cyclic-nucleotide 3'-phosphodiesteraseFUNC-268	5	0	8	0
20S proteasomeFUNC-269	0	0	0	6
20S proteasome subunit alpha 1FUNC-270	0	1	0	0
20S proteasome subunit alpha 2FUNC-271	1	0	0	0
20S proteasome subunit alpha 3FUNC-272	0	2	0	0
20S proteasome subunit beta 1FUNC-273	0	10	0	0
20S proteasome subunit Y7FUNC-274	0	1	0	0
20S proteasome subunits A/BFUNC-275	0	2	0	0
21 kDa protein-likeFUNC-276	14	0	5	0
21S rRNA (uridine2791-2'-O) methyltransferaseFUNC-277	9	0	7	0
23 kDa subunit of NADH-ubiquinone oxidoreductase, partialFUNC-278	0	1	0	1
23S ribosomal RNA methyltransferase ErmFUNC-279	1	0	0	0
23S ribosomal RNA methyltransferase Erm, partialFUNC-280	2	1	0	0
23S rRNA (adenine(1618)-N(6))-methyltransferaseFUNC-281	0	12	0	0
23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJFUNC-282	1	17	0	0
23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ, partialFUNC-283	0	1	0	0
23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B), partialFUNC-284	0	2	0	0
23S rRNA (adenine(2503)-C(2))-methyltransferase RlmNFUNC-285	8	131	2	0
23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN, partialFUNC-286	1	15	0	0
23S rRNA (cytidine(2498)-2'-O)-methyltransferase RlmMFUNC-287	1	15	0	0
23S rRNA (guanine-N-2-) -methyltransferase rlmLFUNC-288	1	0	0	0
23S rRNA (guanine(2445)-N(2))/(guanine(2069)-N(7))-methyltransferaseFUNC-289	2	6	0	0
23S rRNA (guanine(2445)-N(2))/(guanine(2069)-N(7))-methyltransferase, partialFUNC-290	0	1	0	0
23S rRNA (guanine(745)-N(1))-methyltransferaseFUNC-291	2	2	0	1
23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmBFUNC-292	9	97	3	14
23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB, partialFUNC-293	12	14	0	4
23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmHFUNC-294	1	32	0	6
23S rRNA (uracil(1939)-C(5))-methyltransferaseFUNC-295	7	36	0	5
23S rRNA (uracil(1939)-C(5))-methyltransferase RlmDFUNC-296	2	55	1	0
23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD, partialFUNC-297	2	5	0	0
23S rRNA (uracil(747)-C(5))-methyltransferaseFUNC-298	0	4	0	0
23S rRNA (uridine(2552)-2'-O)-methyltransferaseFUNC-299	0	15	0	0
23S rRNA methyltransferaseFUNC-300	0	12	0	1
23S rRNA pseudouridine synthase FFUNC-301	0	2	0	0
23S rRNA pseudouridine(1911/1915/1917) synthaseFUNC-302	5	3	0	0
23S rRNA pseudouridine(955/2504/2580) synthaseFUNC-303	0	0	1	0
23S rRNA pseudouridylate synthaseFUNC-304	0	4	0	0
23S rRNA pseudouridylate synthase BFUNC-305	1	27	1	0
24-methylenesterol C-methyltransferase 2FUNC-306	1	0	0	0
25S rRNA (adenine2142-N1)-methyltransferaseFUNC-307	11	0	11	0
25S rRNA (adenine645-N1)-methyltransferaseFUNC-308	3	0	6	0
25S rRNA (cytosine2278-C5)-methyltransferaseFUNC-309	0	6	0	0
25S rRNA (uracil2634-N3)-methyltransferaseFUNC-310	2	0	0	0
25S rRNA (uracil2843-N3)-methyltransferaseFUNC-311	6	0	3	0
26S protease regulatory subunitFUNC-312	2	0	1	0
26S protease regulatory subunit 10BFUNC-313	0	0	1	0
26S protease regulatory subunit 4FUNC-314	0	0	1	0
26S protease regulatory subunit 6AFUNC-315	11	0	2	0
26S protease regulatory subunit 6BFUNC-316	0	0	2	0
26S protease regulatory subunit 8FUNC-317	1	0	0	0
26S protease subunitFUNC-318	1	0	0	0
26s proteasome non-ATPAse regulatory subunitFUNC-319	0	1	0	0
26S proteasome non-ATPase regulatory subunit 10FUNC-320	0	11	0	0
26S proteasome non-ATPase regulatory subunit 11FUNC-321	0	0	1	0
26S proteasome non-ATPase regulatory subunit 14 homologFUNC-322	1	0	2	0
26S proteasome non-ATPase regulatory subunit 4FUNC-323	1	0	0	0
26S proteasome non-ATPase regulatory subunit 6-likeFUNC-324	0	1	0	0
26S proteasome non-atpase regulatory subunit 9FUNC-325	0	3	0	0
26S proteasome non-ATPase regulatory subunit 9FUNC-326	0	9	0	0
26S proteasome regulatory complex, non-ATPase subcomplex, Rpn1 subunitFUNC-327	1	0	0	0
26S proteasome regulatory subunit 10B homolog A-likeFUNC-328	1	0	0	0
26S proteasome regulatory subunit 4-likeFUNC-329	1	0	0	0
26S proteasome regulatory subunit 6AFUNC-330	1	0	0	0
26S proteasome regulatory subunit 6A homologFUNC-331	2	0	0	0
26S proteasome regulatory subunit 6A homolog, partialFUNC-332	17	0	9	0
26S proteasome regulatory subunit 6A-BFUNC-333	0	8	0	0
26S proteasome regulatory subunit 6BFUNC-334	0	0	2	0
26S proteasome regulatory subunit 6B homologFUNC-335	1	2	0	0
26S proteasome regulatory subunit 7-likeFUNC-336	1	0	0	0
26S proteasome regulatory subunit 8 homolog B-likeFUNC-337	1	0	2	0
26S proteasome regulatory subunit N1FUNC-338	1	0	0	0
26S proteasome regulatory subunit N10FUNC-339	1	0	0	0
26S proteasome regulatory subunit N12FUNC-340	0	6	0	0
26S proteasome regulatory subunit N2FUNC-341	0	14	0	0
26S proteasome regulatory subunit N5FUNC-342	1	0	0	0
26S proteasome regulatory subunit N6FUNC-343	0	4	0	0
26S proteasome regulatory subunit N8FUNC-344	0	1	0	0
26S proteasome regulatory subunit rpn-1-likeFUNC-345	1	0	0	0
26S proteasome regulatory subunit RPN10FUNC-346	0	0	1	0
26S proteasome regulatory subunit RPN10-likeFUNC-347	1	0	0	0
26S proteasome regulatory subunit rpn11-likeFUNC-348	1	0	0	0
26S proteasome regulatory subunit rpn12-likeFUNC-349	1	0	0	0
26S proteasome regulatory subunit rpn2FUNC-350	1	1	0	0
26S proteasome regulatory subunit S10B homolog B isoform X2FUNC-351	1	0	0	0
26S proteasome regulatory subunit T1FUNC-352	1	0	0	0
26S proteasome regulatory subunit T2FUNC-353	3	2	0	0
26S proteasome regulatory subunit T3FUNC-354	0	5	0	0
26S proteasome regulatory subunit T5FUNC-355	0	0	1	0
26S proteasome subunit P45FUNC-356	1	1	1	0
26S proteasome subunit P45, partialFUNC-357	0	0	1	0
27S pre-rRNA (guanosine2922-2'-O)-methyltransferaseFUNC-358	0	0	2	0
2Fe-2S ferredoxinFUNC-359	1	4	1	0
2OG-Fe(II) oxygenaseFUNC-360	3	2	1	0
2OG-Fe(II) oxygenase superfamilyFUNC-361	0	6	0	0
3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase, partialFUNC-362	0	3	0	0
3-alpha-hydroxysteroid dehydrogenaseFUNC-363	1	0	0	4
3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholest-24-enoyl-CoA hydrataseFUNC-364	1	0	0	0
3-beta hydroxysteroid dehydrogenaseFUNC-365	7	1	2	0
3-carboxy-cis,cis-mucoante lactonizing enzymeFUNC-366	0	1	0	0
3-carboxy-cis,cis-muconate cycloisomeraseFUNC-367	2	14	0	0
3-carboxy-cis,cis-muconate cycloisomerase, partialFUNC-368	0	0	0	7
3-carboxymuconate cyclaseFUNC-369	0	1	0	1
3-dehydroquinate dehydrataseFUNC-370	2	29	0	11
