	control.B3	control.B4	experimental.B10	experimental.B9
(2,3-dihydroxybenzoyl)adenylate synthaseFUNC-1	0	0	1	0
(2E,6E)-farnesyl diphosphate synthaseFUNC-2	0	0	2	0
(2Fe-2S) ferredoxinFUNC-3	0	1	1	0
(2Fe-2S)-binding proteinFUNC-4	1	0	30	1
(2Fe-2S)-binding protein, partialFUNC-5	0	0	1	0
(deoxy)nucleoside triphosphate pyrophosphohydrolaseFUNC-6	0	0	1	0
(DL)-glycerol-3-phosphatase 2-likeFUNC-7	0	0	1	0
(Fe-S)-binding proteinFUNC-8	0	0	6	0
(Na+)-NQR maturation NqrMFUNC-9	0	0	0	1
(p)ppGpp synthetaseFUNC-10	0	1	8	0
(R,R)-butanediol dehydrogenaseFUNC-11	0	194	479	95
(R)-2-hydroxyglutarate---pyruvate transhydrogenaseFUNC-12	0	0	2	0
(S)-2-hydroxy-acid oxidase GLO1-likeFUNC-13	0	1	0	0
(S)-8-oxocitronellyl enol synthase CYC2-likeFUNC-14	0	3	1	0
(S)-ureidoglycine aminohydrolaseFUNC-15	0	0	0	1
(Trans)glycosidaseFUNC-16	0	1	0	0
1-(5-phosphoribosyl)-5FUNC-17	0	0	2	0
1-(5-phosphoribosyl)-5- ((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase HIS6FUNC-18	0	6	26	5
1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomeraseFUNC-19	0	0	5	0
1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase, partialFUNC-20	0	0	1	0
1-acyl-sn-glycerol-3-phosphate acyltransferaseFUNC-21	0	9	30	0
1-acyl-sn-glycerol-3-phosphate acyltransferase 2 isoform X2FUNC-22	0	1	0	0
1-acyl-sn-glycerol-3-phosphate acyltransferase, partialFUNC-23	0	0	11	0
1-acylglycerol-3-phosphate O-acyltransferase SLC1FUNC-24	0	4	34	2
1-alkyl-2-acetylglycerophosphocholine esteraseFUNC-25	0	0	1	0
1-aminocyclopropane-1-carboxylateFUNC-26	0	0	1	0
1-aminocyclopropane-1-carboxylate deaminaseFUNC-27	0	1	5	0
1-deoxy-D-xylulose-5-phosphate reductoisomeraseFUNC-28	4	3	31	2
1-deoxy-D-xylulose-5-phosphate reductoisomerase, partialFUNC-29	2	0	1	0
1-deoxy-D-xylulose-5-phosphate synthaseFUNC-30	2	3	45	1
1-deoxy-D-xylulose-5-phosphate synthase, partialFUNC-31	0	0	7	0
1-phosphatidylinositol 3-kinaseFUNC-32	0	1	0	0
1-phosphatidylinositol 4-kinaseFUNC-33	0	1	28	3
1-phosphatidylinositol 4-kinase LSB6FUNC-34	0	17	33	8
1-phosphatidylinositol 4-kinase STT4FUNC-35	0	25	26	5
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase 1-likeFUNC-36	0	1	0	0
1-phosphatidylinositol phosphodiesteraseFUNC-37	0	0	0	1
1-phosphatidylinositol-3-phosphate 5-kinaseFUNC-38	0	13	62	17
1-phosphatidylinositol-4-phosphate 5-kinaseFUNC-39	0	16	50	13
1-phosphofructokinaseFUNC-40	0	1	13	0
1-phosphofructokinase, partialFUNC-41	0	0	7	0
1-pyrroline-5-carboxylate dehydrogenaseFUNC-42	4	57	154	21
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase-likeFUNC-43	0	0	0	1
1,3-1,4-beta-glycanaseFUNC-44	0	0	1	0
1,3-beta glucan synthaseFUNC-45	0	2	1	0
1,3-beta-D-glucan synthaseFUNC-46	0	184	269	77
1,3-beta-galactosyl-N-acetylhexosamine phosphorylaseFUNC-47	0	0	5	0
1,3-beta-glucan synthaseFUNC-48	0	2	5	1
1,3-beta-glucan synthase component bgs4FUNC-49	0	1	0	3
1,3-beta-glucan synthase component domain-containing proteinFUNC-50	0	0	1	0
1,3-beta-glucan synthase component FKS1FUNC-51	0	1	3	0
1,3-beta-glucan synthase component FKS1-likeFUNC-52	0	0	0	1
1,3-beta-glucan synthase component GLS1FUNC-53	0	1	1	0
1,3-beta-glucan synthase gsc2FUNC-54	0	0	1	0
1,3-beta-glucan synthase GSC2FUNC-55	0	227	362	106
1,3-beta-glucanosyltransferaseFUNC-56	0	154	274	52
1,3-beta-glucanosyltransferase gas1FUNC-57	0	0	0	1
1,3-beta-glucanosyltransferase GAS1FUNC-58	0	35	53	27
1,3-beta-glucanosyltransferase gel1FUNC-59	0	0	1	0
1,3-beta-glucanosyltransferase, putativeFUNC-60	0	1	0	0
1,3,6,8-tetra-HN reductaseFUNC-61	0	1	4	0
1,4-alpha-glucan branching enzymeFUNC-62	0	49	122	37
1,4-alpha-glucan-branching proteinFUNC-63	0	0	4	0
1,4-dihydroxy-2-naphthoate octaprenyltransferaseFUNC-64	0	0	1	0
1,4-dihydroxy-2-naphthoate polyprenyltransferaseFUNC-65	0	2	15	0
1,4-dihydroxy-2-naphthoyl-CoA synthaseFUNC-66	2	0	4	0
1,4-dihydroxy-2-naphthoyl-CoA synthase, partialFUNC-67	0	0	1	0
1,4-dihydroxy-6-naphthoate synthaseFUNC-68	0	0	1	0
1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenaseFUNC-69	0	0	2	0
11-beta-hydroxysteroid dehydrogenase-like 5FUNC-70	2	0	0	0
12-oxophytodienoate reductaseFUNC-71	0	1	2	0
13 kDa ribonucleoprotein-associated proteinFUNC-72	0	3	1	0
14 kDa subunit of cytochrome bd ubiquinol oxidaseFUNC-73	0	1	0	0
14-3-3 family protein BMH1FUNC-74	0	259	649	106
14-3-3 family protein BMH2FUNC-75	0	23	43	13
14-3-3 family protein epsilonFUNC-76	0	0	1	0
14-3-3 proteinFUNC-77	0	0	4	0
14-3-3 protein epsilonFUNC-78	0	1	0	0
14-3-3 protein homologFUNC-79	0	1	1	1
14-alpha sterol demethylaseFUNC-80	0	0	2	0
15-hydroxyprostaglandin dehydrogenase, putativeFUNC-81	0	0	1	0
16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferaseFUNC-82	0	0	22	0
16S rRNA (cytidine(1402)-2'-O)-methyltransferaseFUNC-83	0	3	28	1
16S rRNA (cytosine(1402)-N(4))-methyltransferaseFUNC-84	2	0	56	1
16S rRNA (cytosine(1402)-N(4))-methyltransferase, partialFUNC-85	0	0	4	0
16S rRNA (cytosine(967)-C(5))-methyltransferaseFUNC-86	0	0	13	0
16S rRNA (cytosine(967)-C(5))-methyltransferase, partialFUNC-87	0	0	2	0
16S rRNA (guanine(1207)-N(2))-methyltransferaseFUNC-88	0	0	1	0
16S rRNA (guanine(527)-N(7))-methyltransferase RsmGFUNC-89	0	2	6	0
16S rRNA (guanine(527)-N(7))-methyltransferase RsmG, partialFUNC-90	0	0	9	0
16S rRNA (guanine(966)-N(2))-methyltransferase RsmDFUNC-91	0	0	4	0
16S rRNA (guanine(966)-N(2))-methyltransferase RsmD, partialFUNC-92	0	0	2	0
16S rRNA (uracil(1498)-N(3))-methyltransferaseFUNC-93	1	3	13	0
16S rRNA maturation RNase YbeYFUNC-94	0	0	4	0
16S rRNA methyltransferaseFUNC-95	1	1	9	0
16S rRNA methyltransferase, partialFUNC-96	0	0	1	0
16S rRNA processing protein RimMFUNC-97	0	0	2	0
16S rRNA processing protein RimM, partialFUNC-98	0	0	2	0
16S rRNA pseudouridine(516) synthaseFUNC-99	0	1	9	1
17-beta-hydroxysteroid dehydrogenase-like proteinFUNC-100	0	10	36	11
18S rRNA (guanine1575-N7)-methyltransferaseFUNC-101	0	3	34	10
18S rRNA biogenesis proteinFUNC-102	0	0	1	0
2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomeraseFUNC-103	0	0	1	0
2-(3-amino-3-carboxypropyl)histidine synthaseFUNC-104	0	35	72	17
2-(3-amino-3-carboxypropyl)histidine synthase subunit 2FUNC-105	0	0	1	0
2-alkenal reductaseFUNC-106	3	1	3	0
2-amino-3-ketobutyrate coenzyme A ligaseFUNC-107	0	0	1	0
2-amino-3-ketobutyrate coenzyme A ligase, variantFUNC-108	0	0	2	0
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinaseFUNC-109	0	0	17	0
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase, partialFUNC-110	0	2	1	0
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinaseFUNC-111	0	0	3	0
2-aminoadipate aminotransferaseFUNC-112	0	1	0	0
2-aminoadipate transaminaseFUNC-113	0	49	94	19
2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthaseFUNC-114	0	1	7	0
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferaseFUNC-115	0	2	24	0
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, partialFUNC-116	0	0	1	0
2-dehydro-3-deoxy-phosphogluconate aldolaseFUNC-117	0	0	1	0
2-dehydro-3-deoxyphosphogluconate aldolaseFUNC-118	0	0	1	0
2-dehydro-3-deoxyphosphooctonate aldolase, partialFUNC-119	0	0	2	0
2-dehydropantoate 2-reductaseFUNC-120	2	4	9	1
2-dehydropantoate 2-reductase PAN5FUNC-121	0	1	2	2
2-deoxy-D-gluconate 3-dehydrogenaseFUNC-122	0	0	3	0
2-deoxyglucose-6-phosphataseFUNC-123	0	7	25	7
2-deoxyribose-5-phosphate aldolaseFUNC-124	0	2	12	0
2-enoate reductaseFUNC-125	0	1	37	0
2-haloacrylate reductase-likeFUNC-126	0	0	2	0
2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferaseFUNC-127	0	10	17	1
2-hydroxy-3-oxopropionate reductaseFUNC-128	0	1	4	0
2-hydroxy-acid oxidaseFUNC-129	0	0	2	0
2-hydroxy-palmitic acid dioxygenase mpo1FUNC-130	0	0	2	0
2-hydroxyacid dehydrogenaseFUNC-131	0	0	6	0
2-hydroxyacyl-CoA dehydrataseFUNC-132	0	0	5	0
2-hydroxychromene-2-carboxylate isomeraseFUNC-133	0	0	2	0
2-hydroxyglutaryl-CoA dehydrataseFUNC-134	1	0	7	0
2-hydroxyhepta-2,4-diene-1,7-dioate isomeraseFUNC-135	0	1	6	0
2-hydroxyisoflavanone dehydratase-likeFUNC-136	0	1	0	0
2-hydroxymuconic semialdehyde dehydrogenaseFUNC-137	0	1	1	0
2-iminoacetate synthase ThiHFUNC-138	0	0	1	0
2-isopropylmalate synthaseFUNC-139	1	5	79	3
2-isopropylmalate synthase LEU4FUNC-140	0	30	64	14
2-isopropylmalate synthase LEU9FUNC-141	0	4	8	1
2-isopropylmalate synthase, partialFUNC-142	0	0	1	0
2-keto-3-deoxygluconate permeaseFUNC-143	0	0	2	0
2-keto-4-pentenoate hydrataseFUNC-144	0	0	2	0
2-keto-4-pentenoate hydratase, partialFUNC-145	0	2	1	0
2-keto-gluconate dehydrogenaseFUNC-146	0	0	2	0
2-ketoisovalerate ferredoxin oxidoreductase subunit alphaFUNC-147	0	0	1	0
2-ketoisovalerate ferredoxin oxidoreductase subunit betaFUNC-148	0	0	4	0
2-methylcitrate dehydrataseFUNC-149	0	1	8	1
2-methylcitrate dehydratase-like proteinFUNC-150	0	0	0	1
2-methylcitrate synthaseFUNC-151	1	1	2	0
2-methylcitrate synthase, partialFUNC-152	0	0	1	0
2-methylene-furan-3-one reductase-likeFUNC-153	0	0	0	1
2-methylene-furan-3-one reductase-like isoform X2FUNC-154	1	0	0	0
2-methylisocitrate lyaseFUNC-155	0	0	1	0
2-methylmalate dehydratase large subunitFUNC-156	0	2	4	0
2-nitropropane dioxygenaseFUNC-157	1	1	6	1
2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylaseFUNC-158	0	1	9	1
2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase, partialFUNC-159	0	0	1	0
2-octaprenyl-6-methoxyphenyl hydroxylaseFUNC-160	0	1	19	1
2-octaprenylphenol hydroxylaseFUNC-161	0	0	1	0
2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylaseFUNC-162	0	0	1	0
2-oxo-hepta-3-ene-1,7-dioic acid hydrataseFUNC-163	0	0	0	1
2-oxoacid ferredoxin oxidoreductase subunit betaFUNC-164	0	0	4	0
2-oxoacid:acceptor oxidoreductase subunit alphaFUNC-165	0	0	4	1
2-oxoacid:ferredoxin oxidoreductase subunit betaFUNC-166	0	0	3	0
2-oxodicarboxylate carrier 2FUNC-167	0	0	1	0
2-oxoglutarate dehydrogenase E1 componentFUNC-168	2	20	141	8
2-oxoglutarate dehydrogenase E1 component, partialFUNC-169	0	1	10	2
2-oxoglutarate dehydrogenase subunit E1FUNC-170	3	0	22	1
2-oxoglutarate dehydrogenase subunit E1, partialFUNC-171	0	0	4	1
2-oxoglutarate dehydrogenase-like, mitochondrialFUNC-172	0	0	1	0
2-oxoglutarate dehydrogenase, E1 componentFUNC-173	0	1	0	0
2-oxoglutarate dehydrogenase, E2 component, dihydrolipoamide succinyltransferaseFUNC-174	1	0	13	0
2-oxoglutarate dehydrogenase, E2 component, dihydrolipoamide succinyltransferase, partialFUNC-175	1	2	7	0
2-oxoglutarate dehydrogenase, mitochondrialFUNC-176	0	1	0	1
2-oxoglutarate ferredoxin oxidoreductase subunit alphaFUNC-177	1	0	1	0
2-oxoglutarate translocatorFUNC-178	0	0	2	0
2-oxoglutarate-Fe(II) type oxidoreductase hxnY isoform X2FUNC-179	0	1	0	0
2-oxopent-4-enoate hydratase, partialFUNC-180	0	0	1	0
2-phospho-L-lactate guanylyltransferaseFUNC-181	1	0	1	1
2-phospho-L-lactate transferaseFUNC-182	0	0	1	0
2-polyprenyl-6-methoxyphenol hydroxylaseFUNC-183	0	0	2	0
2-polyprenylphenol hydroxylaseFUNC-184	0	0	1	0
2-pyrone-4,6-dicarboxylate hydrolaseFUNC-185	0	0	1	0
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthaseFUNC-186	1	1	15	0
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase, partialFUNC-187	0	0	1	0
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthaseFUNC-188	0	3	20	1
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase, partialFUNC-189	0	0	1	0
2,3-bisphosphoglycerate-independent phosphoglycerate mutaseFUNC-190	0	1	2	0
2,3-butanediol dehydrogenaseFUNC-191	0	0	2	0
2,3-diaminopropionate biosynthesis protein SbnAFUNC-192	0	0	5	0
2,3-diaminopropionate biosynthesis protein SbnBFUNC-193	0	0	4	0
2,3-dihydroxybenzoate-AMP ligaseFUNC-194	0	1	1	0
2,3-diketo-5-methylthio-1-phosphopentane phosphataseFUNC-195	0	0	1	1
2,3,4,5-tetrahydropyridine-2,6-carboxylate N-succinyltransferase, partialFUNC-196	0	0	1	0
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferaseFUNC-197	0	0	1	0
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferaseFUNC-198	0	1	19	1
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase, partialFUNC-199	0	1	0	0
2,4-dichlorophenol 6-monooxygenaseFUNC-200	0	0	2	0
2,4-dienoyl-CoA reductaseFUNC-201	0	0	3	0
2,4-dienoyl-CoA reductase (NADPH)FUNC-202	0	34	60	20
2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolaseFUNC-203	0	0	2	0
2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductaseFUNC-204	0	4	19	6
2,5-diketo-D-gluconic acid reductase A, partialFUNC-205	0	0	0	1
2'-5' RNA ligaseFUNC-206	0	0	2	0
2'-deoxycytidine 5'-triphosphate deaminaseFUNC-207	0	0	1	0
2'-phosphotransferaseFUNC-208	0	0	2	0
2',3'-cyclic-nucleotide 2'-phosphodiesteraseFUNC-209	1	0	19	0
2',3'-cyclic-nucleotide 2'-phosphodiesterase, partialFUNC-210	0	0	1	0
2',3'-cyclic-nucleotide 3'-phosphodiesteraseFUNC-211	0	0	9	1
20S proteasome subunit alpha 3FUNC-212	0	0	1	0
20S proteasome subunit alpha 7FUNC-213	0	0	2	1
20S proteasome subunit beta 7FUNC-214	0	0	4	0
20S proteasome subunit Y7FUNC-215	0	1	0	0
20S proteasome, regulatory subunit beta type PSMB5/PSMB8/PRE2FUNC-216	0	1	0	2
21 kDa protein-likeFUNC-217	0	10	15	3
21S rRNA (uridine2791-2'-O) methyltransferaseFUNC-218	0	11	35	8
22.0 kDa class IV heat shock protein-likeFUNC-219	0	0	2	1
23S ribosomal RNA methyltransferase ErmFUNC-220	0	0	1	0
23S rRNA (adenine(1618)-N(6))-methyltransferaseFUNC-221	0	1	1	0
23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJFUNC-222	0	1	4	0
23S rRNA (adenine(2503)-C(2))-methyltransferase RlmNFUNC-223	0	2	23	0
23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN, partialFUNC-224	0	0	3	0
23S rRNA (cytidine(2498)-2'-O)-methyltransferase RlmMFUNC-225	0	0	5	0
23S rRNA (cytidine(2498)-2'-O)-methyltransferase RlmM, partialFUNC-226	0	1	1	0
23S rRNA (guanine(2445)-N(2))/(guanine(2069)-N(7))-methyltransferaseFUNC-227	0	1	28	3
23S rRNA (guanine(2445)-N(2))/(guanine(2069)-N(7))-methyltransferase, partialFUNC-228	0	0	1	0
23S rRNA (guanosine(2251)-2'-O)-methyltransferaseFUNC-229	0	0	1	0
23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmBFUNC-230	0	1	18	0
23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB, partialFUNC-231	0	0	8	0
23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmHFUNC-232	0	1	9	1
23S rRNA (uracil(1939)-C(5))-methyltransferaseFUNC-233	0	3	14	1
23S rRNA (uracil(1939)-C(5))-methyltransferase RlmDFUNC-234	0	0	4	0
23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD, partialFUNC-235	0	0	2	0
23S rRNA (uracil(1939)-C(5))-methyltransferase, partialFUNC-236	0	0	1	0
23S rRNA (uracil(747)-C(5))-methyltransferaseFUNC-237	0	0	9	0
23S rRNA (uridine(2552)-2'-O)-methyltransferaseFUNC-238	0	0	2	1
23S rRNA methyltransferaseFUNC-239	0	0	1	0
23S rRNA pseudouridine(1911/1915/1917) synthaseFUNC-240	0	1	14	1
23S rRNA pseudouridine(2457) synthaseFUNC-241	1	0	0	0
23S rRNA pseudouridine(955/2504/2580) synthaseFUNC-242	0	1	5	0
23S rRNA pseudouridine(955/2504/2580) synthase, partialFUNC-243	0	0	2	0
23S rRNA pseudouridylate synthase BFUNC-244	1	1	11	0
23S rRNA pseudouridylate synthase B, partialFUNC-245	0	0	3	0
25.3 kDa vesicle transport proteinFUNC-246	0	1	1	0
25S rRNA (adenine2142-N1)-methyltransferaseFUNC-247	0	6	16	4
25S rRNA (adenine645-N1)-methyltransferaseFUNC-248	0	2	7	1
25S rRNA (cytosine-C(5))-methyltransferase NSUN5 isoform X2FUNC-249	0	0	1	0
25S rRNA (uracil2634-N3)-methyltransferaseFUNC-250	0	0	4	0
25S rRNA (uracil2843-N3)-methyltransferaseFUNC-251	0	2	7	2
26S protease regulatory subunitFUNC-252	0	1	3	2
26S protease regulatory subunit 4FUNC-253	0	0	2	1
26s protease regulatory subunit 6aFUNC-254	0	0	1	0
26S protease regulatory subunit 6AFUNC-255	0	1	7	1
26S protease regulatory subunit 6BFUNC-256	0	3	2	0
26S protease regulatory subunit 7FUNC-257	1	0	1	0
26S protease regulatory subunit 7, variantFUNC-258	0	1	0	0
26S protease regulatory subunit 8FUNC-259	0	1	2	1
26S protease subunit RPT4FUNC-260	0	0	0	1
26S protease-like protein regulatory subunit 6BFUNC-261	0	0	1	0
26S proteasome ATPase subunitFUNC-262	0	1	0	0
26S proteasome non-ATPase regulatory subunit 7 homolog A-likeFUNC-263	0	0	1	0
26S proteasome non-ATPase regulatory subunit 7-likeFUNC-264	0	0	1	0
26S proteasome regulatory complex, non-ATPase subcomplex, Rpn2/Psmd1 subunitFUNC-265	0	0	1	0
26S proteasome regulatory subunit 4 homolog isoform X1FUNC-266	0	0	2	0
26S proteasome regulatory subunit 4-likeFUNC-267	0	0	1	0
26S proteasome regulatory subunit 6AFUNC-268	0	0	1	0
26S proteasome regulatory subunit 6A homolog, partialFUNC-269	0	6	8	3
26S proteasome regulatory subunit 6A-BFUNC-270	0	0	1	0
26S proteasome regulatory subunit 6BFUNC-271	0	0	1	0
26S proteasome regulatory subunit 6B homologFUNC-272	0	1	1	0
26S proteasome regulatory subunit 6B homolog, partialFUNC-273	0	1	0	0
26S proteasome regulatory subunit 7-likeFUNC-274	0	0	1	0
26S proteasome regulatory subunit 7A-likeFUNC-275	0	1	0	0
26S proteasome regulatory subunit Mts4FUNC-276	0	0	1	0
26S proteasome regulatory subunit N10FUNC-277	0	0	3	0
26S proteasome regulatory subunit rpn-1-likeFUNC-278	0	1	0	0
26S proteasome regulatory subunit rpn-8FUNC-279	0	0	1	0
26S proteasome regulatory subunit RPN10-likeFUNC-280	0	0	0	1
26S proteasome regulatory subunit rpn11-likeFUNC-281	0	0	1	0
26S proteasome regulatory subunit rpn12-likeFUNC-282	0	0	0	1
26s proteasome regulatory subunit rpn2FUNC-283	0	0	1	0
26S proteasome regulatory subunit rpn2FUNC-284	0	0	1	0
26S proteasome regulatory subunit S10B homolog B-like, partialFUNC-285	0	0	1	0
26S proteasome regulatory subunit T2FUNC-286	0	1	1	0
26S proteasome regulatory subunit T5FUNC-287	0	0	2	0
26S proteasome subunit ATPase 5FUNC-288	0	0	1	0
26S proteasome subunit P45FUNC-289	0	1	3	0
27S pre-rRNA (guanosine2922-2'-O)-methyltransferaseFUNC-290	0	0	9	3
28 kDa heat- and acid-stable phosphoprotein-likeFUNC-291	0	0	1	0
28S ribosomal protein S2, mitochondrial-likeFUNC-292	0	0	1	0
2Fe-2S ferredoxinFUNC-293	0	0	1	0
2Fe-2S iron-sulfur cluster binding domain-containing proteinFUNC-294	0	0	1	0
2OG-Fe(II) oxygenaseFUNC-295	0	1	4	3
3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholest-24-enoyl-CoA hydrataseFUNC-296	0	1	3	0
3-beta hydroxysteroid dehydrogenaseFUNC-297	0	0	1	0
3-carboxy-cis,cis-muconate cycloisomeraseFUNC-298	1	0	6	0
3-carboxymuconate cyclaseFUNC-299	0	0	7	0
3-carboxymuconate cyclase-like protein-like proteinFUNC-300	0	0	1	1
3-dehydroquinate dehydrataseFUNC-301	0	1	3	0
3-dehydroquinate synthaseFUNC-302	2	2	32	0
3-dehydroquinate synthase, partialFUNC-303	0	0	1	0
3-dehydroshikimate dehydrataseFUNC-304	0	0	0	1
3-dehydrosphinganine reductaseFUNC-305	0	5	28	12
3-deoxy-7-phosphoheptulonate synthaseFUNC-306	1	1	14	0
3-deoxy-7-phosphoheptulonate synthase ARO3FUNC-307	0	9	19	7
3-deoxy-7-phosphoheptulonate synthase ARO4FUNC-308	0	2	9	3
3-deoxy-7-phosphoheptulonate synthase class IIFUNC-309	1	0	17	0
3-deoxy-7-phosphoheptulonate synthase, partialFUNC-310	0	0	10	1
3-deoxy-8-phosphooctulonate synthaseFUNC-311	0	0	16	1
3-deoxy-8-phosphooctulonate synthase, partialFUNC-312	0	0	1	0
3-deoxy-D-manno-octulosonate 8-phosphate phosphataseFUNC-313	0	0	1	0
3-deoxy-D-manno-octulosonic acid kinaseFUNC-314	0	0	1	0
3-deoxy-D-manno-octulosonic acid transferaseFUNC-315	0	0	15	1
3-deoxy-D-manno-octulosonic acid transferase, partialFUNC-316	0	0	1	0
3-deoxy-manno-octulosonate cytidylyltransferaseFUNC-317	1	0	2	0
3-deoxy-manno-octulosonate cytidylyltransferase, mitochondrialFUNC-318	0	1	0	0
3-hexulose-6-phosphate synthaseFUNC-319	0	0	1	0
3-hydroxy-2-methylbutyryl-CoA dehydrogenaseFUNC-320	3	0	2	0
3-hydroxy-3-methylglutaryl-CoA reductaseFUNC-321	0	0	1	0
3-hydroxy-3-methylglutaryl-CoA reductase 2FUNC-322	0	0	1	0
3-hydroxy-3-methylglutaryl-coenzyme A reductaseFUNC-323	0	0	2	0
3-hydroxy-3-methylglutaryl-coenzyme A reductase-likeFUNC-324	0	0	1	1
3-hydroxyacylFUNC-325	0	2	20	0
3-hydroxyacyl-ACP dehydrataseFUNC-326	1	0	0	0
3-hydroxyacyl-CoA dehydrogenaseFUNC-327	3	6	37	1
3-hydroxyacyl-CoA dehydrogenase, partialFUNC-328	0	0	2	0
3-hydroxyanthranilate 3,4-dioxygenaseFUNC-329	0	5	27	5
3-hydroxybutyrate dehydrogenaseFUNC-330	0	1	1	0
3-hydroxybutyryl-CoA dehydrataseFUNC-331	0	0	4	0
3-hydroxybutyryl-CoA dehydrogenaseFUNC-332	0	1	13	0
3-hydroxybutyryl-CoA dehydrogenase, partialFUNC-333	0	0	1	0
3-hydroxydecanoyl-ACP dehydratase, partialFUNC-334	0	0	3	0
3-hydroxyisobutyrate dehydrogenaseFUNC-335	0	0	6	0
3-hydroxyisobutyrate dehydrogenase-like protein, partialFUNC-336	0	0	2	0
3-hydroxyisobutyryl-CoA hydrolaseFUNC-337	0	2	2	0
3-hydroxyisobutyryl-CoA hydrolase-like protein 3, mitochondrial isoform X3FUNC-338	0	0	1	0
3-hydroxyisobutyryl-CoA hydrolase, mitochondrialFUNC-339	0	1	0	0
3-isopropylmalate dehydrataseFUNC-340	0	1	4	0
3-isopropylmalate dehydratase large subunitFUNC-341	2	1	30	3
3-isopropylmalate dehydratase LEU1FUNC-342	1	94	181	17
3-isopropylmalate dehydratase small subunitFUNC-343	0	0	6	1
3-isopropylmalate dehydratase small subunit 1-likeFUNC-344	0	2	1	0
3-isopropylmalate dehydratase, partialFUNC-345	0	0	2	0
3-isopropylmalate dehydrogenaseFUNC-346	0	6	28	2
3-isopropylmalate dehydrogenase, partialFUNC-347	0	0	6	0
3-keto steroid reductaseFUNC-348	0	2	0	0
3-keto-5-aminohexanoate cleavage proteinFUNC-349	0	0	6	0
3-keto-L-gulonate-6-phosphate decarboxylaseFUNC-350	0	1	2	0
3-keto-steroid reductaseFUNC-351	0	19	32	7
3-ketoacyl-ACP reductaseFUNC-352	0	0	3	1
3-ketoacyl-CoA thiolase 2, peroxisomal-likeFUNC-353	1	0	0	0
3-ketoacyl-CoA thiolase A, peroxisomalFUNC-354	0	0	1	0
3-ketoacyl-CoA thiolase-like proteinFUNC-355	0	0	1	0
3-ketoacyl-CoA thiolase, partialFUNC-356	0	0	3	0
3-ketoacyl-CoA thiolase, peroxisomalFUNC-357	0	0	0	1
3-ketoacyl-CoA thiolase, peroxisomal-likeFUNC-358	0	0	1	1
3-ketodihydrosphingosine reductase tsc10-likeFUNC-359	0	0	0	1
3-mercaptopyruvate sulfurtransferaseFUNC-360	0	0	1	0
3-methyl-2-oxobutanoate dehydrogenaseFUNC-361	0	0	1	0
3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) subunit alphaFUNC-362	1	1	0	0
3-methyl-2-oxobutanoate dehydrogenase subunit VorBFUNC-363	0	0	2	0
3-methyl-2-oxobutanoate hydroxymethyltransferaseFUNC-364	0	4	16	2
3-methyl-2-oxobutanoate hydroxymethyltransferase, partialFUNC-365	0	0	2	0
3-methyladenine DNA glycosylaseFUNC-366	4	1	10	0
3-methylcrotonyl-CoA carboxylaseFUNC-367	2	0	6	2
